#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
reasonably,,妥当に,8rfchcP23CqfGQxkIsGg
draw,,描く,91loRFXZBPzTtNX1GrNW
laptop,,ノートPC,92RGw8eUMeVCVPkk2mjV
jobless,,失業している,97Emi4IqOSuprocScoqj
reservation,,予約,97l2XxwTOyy05YpSqusP
inconvenience,,不便,9GBIe9vK7tb7SANy5jEw
strategy,,戦略,9JeQrWHB93Rr2Yp1y4QW
rate,,率,9KFNeDC07hZaJQNNvPOn
specialty,,専門,9VL0z6XGItcmIimEziWq
external,,外部,9Y9qp0uvoJ0e59hOFH6s
personnel,,人員,9YEd7xqB08XDlDl3u5b8
barcode,,バーコード,9dLNB0klir4tcCMAlDQd
merge,,合併する,9dUz7JUdqZQ8lJyalpH8
fax,,ファックス,9jHNQKJc1KFtKv0Y2kMs
probably,,多分,9qkhBH8v0S1lhRLjgSK9
competitor,,競争者,9rOEYC6o1xVUB57VxExG
annual,,年間の,9vHhfjiNjNVanXbMsU8w
desperate,,絶望的,9wtrHpyxfuIBteDSXII4
demanding,,厳しい,9z9uTIoRWS8yv5K5Yd9n
background,,背景,A37dGpRb89Lq5MQrHP5J
strategic,,戦略的,A9YPrS920xrm6aS9DLqd
senior,,上級の,ADNZZ8DLPUlsAQOPVXiA
forget,,忘れる,AELMlU6WuUMyg5oiNLoN
allow,,許す,AGKJPhrRXNy7CBBOiT7v
regarding,,関して,AKYzIZmE16cotJo2C8ju
stare,,凝視する,AKpikESpQZDqjZq3pC58
register,,登録する,AP7HNoeXBi67so3vgvuP
affect,,影響する,AQ4VU98omBZaMZ8dyc1d
prevent,,防ぐ,AR7WhvZijw81MvZnDYlr
argue,,議論する,AXh4dwooyD1ZQQzEOE3G
satisfied,,満足した,AbMQB9LDTRIifZeGEU1j
disconnect,,切り離す,AclESne70A87x5Whc5Qe
definite,,明確な,Ad9Q3G3PhObtwPvqKTuf
worthless,,無価値,Akt8iDwKpHcijLiAvjCQ
wholesale,,卸売り,Apj8LwJqvyggE1h7nQ5o
crowded,,混んでいる,Ary7mrqM1sdwtxUmRmx1
manufacturing,,製造業,Au9ZdVmdQgi9kmAFuwhS
terrific,,素晴らしい,AyCFHiauIujY0OHgdhVD
upgrade,,アップグレード,B2PIB42kU6OqiVBaSNgQ
defect,,欠陥,B4Yca3MNQVPeubjmX8hL
frankly,,率直に,BBQYZ1gywB47Qhmr50tK
actually,,実際に,BBpCME08oShZG8SVVduO
press,,押す,BLz14VgMXfIJkTOfSJMR
simplify,,単純化する,BNVBHJBtBCVDHikiztn8
principal,,校長,BPEe9WIlLolBotvuIa2h
medic,,衛生兵,BfY4v4tJXVKFiWunFrMS
examine,,検査する,Bgd23WVjlpCngQnenE6I
field,,野原,BqQ4WNQ6H59ftwRv3w8q
replace,,置き換える,BqReXELGMJdyUO6KKhWL
responsibility,,責任,Bw7rWg1aJUgAXhb8fsom
behave,,振る舞う,BzQ4nQlqmZDb9MbZXf1V
vacancy,,空き,C0ZEAKagIgkMcEWdRwIw
handy,,便利な,C2uQH62ffmm0w57gHneL
contribute,,貢献する,CCKJZsT23JzwRE62NoHi
wealth,,富,CDVNWDaoUg0WhiOB46oM
constantly,,絶えず,CIMaHOGwLPoTQHulYWTf
revised,,改訂された,CMJ6YtvTqBB9mrRON9eR
endure,,耐える,CMkQcEVMHCYOq9oIiIiX
shift,,移り,CNszSuMI25SFcPAuadd6
professional,,専門的,COXmYYob70P7QCCIeYSp
operate,,操作する,CQXGmbh75owWc1xNyxtA
deal,,取引,CRm7i1o4wRk9K8QKiqad
form,,形,CWWLNTbjVlcMJElmiUpx
reject,,拒む,CXHILkiIBCIrMeWTJ1yZ
critical,,批判的な,CZ6EC66ZNfL8jwAfoUOE
investigation,,調査,CZMiqf6JHIHp4MXerq1j
welfare,,福祉,ChFpfcuedFDebnBUJLYW
licensing,,ライセンス交付,CtzemXeZftoIipV0MghW
increase,,増やす,CvJpYmE1NaalX5rbnQA8
appreciative,,感謝している,Cwmpy9g02sfBaPmOeoUS
exact,,正確,D1FBkHUQ75fd9fL0OAOv
profitable,,利益のあがる,D9OBnmdIDuNR0kX4uguc
agreeable,,好ましい,DA3Y4b8fci5ZMldETpb7
itinerary,,旅程,DAshuDQ6HKEIAWCqjRTP
concourse,,中央広場,DGdb21KoBVpcdD5ZyiXe
transform,,変換する,DH5mXtROBhDYEJncYeNJ
construction,,建設,DLCPb1F8AilmrZVbiyCs
chain,,鎖,DNRnwmhnr3O6AhiZIVuv
decorate,,飾る,DQRU4xKbhLiVG7jlOUbJ
unwrap,,包みを解く,DQokKUmIAeN8gk8OlmRL
jeopardize,,危なくする,DScgEoMwH7SZ9sp0QD7w
bored,,退屈,DizORER4nawg7d30am63
characteristic,,特性,DjCk2KOJCLuP7JVU6OF9
beverage,,飲み物,DslO1TvikhJoWQxOzreq
appreciable,,目に見えるような,Dtt0WanNUOb2QVPgdM0V
charity,,慈善,Dx5BHoRqDFW0uVXkLFGz
control,,制御,E1h439uCsJtPSn9FApct
narrowing,,狭めること,E4NXG3oPvGCmDJkz6RcQ
progress,,進捗,E579VW1DYZ5wZ3dKsjTA
towel,,タオル,E5N5rC7VmojKZZF9hfXD
duration,,持続時間,EBFcWjfjPlclRtys89BE
quotation,,引用,ECcLXHepBnWw2LaCi5lZ
commute,,通勤,EEXbObtMG1GqHxmXU24g
bulletin,,掲示,EPpql70plpEA3AhXgJIY
cost,,費用,EU9hp99UDH8s17Lf2E6i
valuables,,貴重品,EZu4RGx2fdsCOZmWCWNc
assess,,評価する,EdFawoRs66rfhlKlXILj
internal,,内部,EfB9RA3l8T5GCTX53wqt
practically,,実質的に,ElwOAlSKhiIgb40uNmuk
confusion,,混乱,EmC7bdyVMQKuR8GwWvDL
investigate,,調査する,EmDlqltb0cQoqTzRbPet
cheap,,安い,EpwkDLsPeiPsIycm62qw
permit,,許可する,EscAkatm9yOOoJeIBJb5
chairman,,議長,F31qjMI7FvekvKyUNLYq
variety,,多様性,F3MHiR0Iymp7sqibYSyX
exhibit,,展示する,F4s9CPKXnX0Gjox7ll1C
perform,,演じる,FBmkziN9Y9RR7pNBMIRM
supervision,,監督,FCzae3vdtg8Rfw2jlNrC
amount,,金額,FF1MmTUM2utHVBZfFmAy
broadcast,,放送する,FGbdEUFCRTARuiu5vgX1
arrange,,手配する,FJ9xfIuIXZ7FvyThGqrY
plow,,犂く,FKRMrWj1mySJJfhlmgne
reminder,,リマインダー,FLiNfsXtDLhVsKsDvsoM
recruitment,,採用,FLjtXz9dY7VjJTYClVt9
regional,,地域的な,FNjR94apehknHvDJqNZa
shine,,輝く,FQq7WcSAvpmnJTkLRbUO
subscribe,,購読する,FRFudal6LIbTY2ByKKhA
respond,,応じる,FRzMcQyM9xqZnwgNzR11
remove,,取り除く,FT5I9Ecj7CwohMHDWa5n
drastic,,劇的,FWjSHC6U7xhAWPBrJHAO
check in,,チェックイン,FYrSsrgPNvV6KYAto3Ts
benefit,,利益,FhSTZuEs4plwhqb7dVjc
priority,,優先順位,FhWSFFfLyypbd0LHIvyE
grill,,焼き網,FmJZhJqXncxHOzxGqS66
block,,塊,FnDjZtraigYzpXwLBWAQ
manage,,管理する,FzfyZdciOS8pgyIk44Vm
redundant,,冗長な,G2BgEffJetLTrufb6OuS
lease,,賃貸借,G2v8mOLiIbea0vcBnkME
approach,,接近する,G3xqZxtgBPn2Ex4LpQR1
apologize,,謝る,GJZ3V0s6sQrAIsG6LnPd
napkin,,ナプキン,GMvqwOLfxyowW8UIqlAX
dispute,,紛争,GOHoVwBScDUiWwNHxUtf
haggle,,値切る,GOjv4Ub2vZ6ZJ6BCOdfs
upstairs,,上の階,GT5U1rslXogQ5wSCQifH
commence,,開始する,GUX0Fd3X3tBVzXJGybZD
affordable,,手頃な,GiftIk29jAV0gZhezQ68
certification,,証明書,Giv2VWFbG4ItOF0jhyza
international,,国際的,Gkahi7OaO009Dphrva4H
installation,,設置,Gku8PxI2IL3HmptJr5KZ
competition,,競争,GmjJjst2mMhn4WqATJsK
warrant,,令状,GoV4HTc1nNt8nR0V5I9b
forecast,,予測,GotYrLAYVepr3ATioIKc
route,,道筋,Gq53DarBDzTasaHMYaQZ
warning,,警告,GqCa0I3shik1Yu8riRMV
commonly,,一般的に,GqwZ0pScL5PXm6ujFSJs
guarantee,,保証する,GraFZjrjubQ8PLZW40LN
dividend,,配当金,H2u3PaOBQZGz7oRB8r6V
subsidiary,,子会社,H4d0Ty99hr21lrCGQbqv
satisfy,,満たす,H4hnlILpSFpXtCWXMd28
support,,支える,H5HaVAsLtmRtAy4gtkhT
check out,,会計する,H9fKOAPWyalC0oYnYd73
fill out,,記入する,HBlSudTsv0Pp54nRzbuN
arbitrate,,仲裁する,HCfpHO6pC2y4v5hlgL7F
feedback,,フィードバック,HGzYksjfBAlNVszFnq5X
complaint,,苦情,HKbZW3YiHAU2spNsXdlQ
entrée,,主菜,HV75xifbDKnBlqbDxCgn
stock,,株式,HZP9UzQaizrAMP3YFAIc
briefing,,ブリーフィング,Hao6teRpzpBROJSD6sFk
vital,,不可欠な,Hhvge5Y6ya9n2Js1Slop
retail,,小売,HmNk62wFbKwTNWY913VL
accurate,,正確な,HotR80uEuVFb6CZAmgVS
endurance,,持久力,HvJlNkFww0ZpJI8W0BgO
delivery,,配達,Hw15KkqGK651zyT8RI6K
save,,保存する,HyJzACNz6MDMXGaToMHN
serious,,真剣な,I0MsUFR3Sdmo5dhquei8
politics,,政治,I2b5M9koK3T7TkioaQkj
commission,,委員会,I4XNNFc80FVf5GyqLlXq
dismiss,,解散する,I5reDNQi8k3doIaovi0b
accommodate,,収容する；宿泊させる,I7G08T0Yzc6WZ1gwMrG7
evaluate,,評価する,I8w02yrMp2FWjaax1qj8
original,,元の,IA7uf6OUS2UuFPUxf7Lt
invent,,発明する,IDp60vcxVwR9r9ZqltDY
workplace,,職場,IRISTo5TE9RSgJgcRFNj
tour,,旅行,ISRsJAvnSCjtpMoTDLeq
suit,,スーツ,IUl78vKC4jxck9HymhyA
board,,板,IUmkVh6Cfr1V7scQAsMG
development,,開発,IYKAFhcEHT1GHewvOBYK
politician,,政治家,IdYNJYlombKRCuRiu7bO
secretary,,秘書,IetoALJjaLwXbMq503Vp
luxury,,贅沢,IirxW4ZnFpi7OzXeKQEg
employer,,雇い主,Ik9uB4gS7T1oe5nvC1di
certificate,,証明書,IkdlbGM0bT9IqXv6tUfG
expense,,費用,IlKcfe4UJd0z5srJ0nD1
definitely,,確かに,ImQl6chruuTIEm80LFA8
shipment,,出荷,IpUH7uEWh2LkjAQd7CYK
million,,百万,IvH3UAMAtZmOHG9Nzitq
contain,,含む,IvTvYzsOqPbLvmpctUMB
keen,,鋭い,IvXYoeaHcvqemePMTyxd
excellent,,優れた,IwCADvRQ0QwlUXSyuiEh
project,,計画,J2ewcYBYiW6PmBnkJDpu
intern,,インターン生,J6OaZEZF35miDxofv4W2
remarkable,,顕著な,J8Qg0j0myVzrFFjfrmdQ
suitable,,適した,J9p0I8Wz3OkGy0mDlIqt
effective,,有効な,JF49USEpRCP2XRuHu4ki
hold,,持つ,JGtCX8cs4weCaWVZz36b
cancellation,,取消し,JJmYAOglUiO6MmgqQOlk
emergency,,緊急事態,JLqzSMa31vwPc6VeYUDy
current,,現在の,JVSnFyun0uzzfEX1Fzkx
properly,,適当に,JZIQ5qjWMPpe1ZDnJGir
candidacy,,立候補,JcOWwMW8aOEvWFT5M4kO
economize,,節約する,JcRhDo65XkAfbLh5Iwc2
popularity,,人気,Ji6WU2GmXCxV0ZT3ncwb
scrutinize,,精査する,JlBeo4MzSkTihYidCdX9
expectation,,期待,Jn9dNzK25ir1Vy6mVh69
amend,,修正する,JtrH9EUWOt7A1HP9xBKZ
secluded,,人里離れた,JwrYefGjvbZhhq8l19H9
airline,,航空会社,Jy2zeCyPD4Gij3FPBPC3
satisfactory,,満足できる,Jzd4Q2E67p4nZtxBYveh
degree,,度,K0e8iyiKkrwDuvJIrkQ0
accident,,事故,K1BhS5LroqO2XDjOsGNV
assets,,資産,K9d9FxPSCmbFFeFMLxde
ensure,,確かめる,KF6WM7YOX16bIVW9mjIg
rational,,理性的,KMZFQHRiZcX5BZ45rr6e
private,,私的,KNLUvqoNWfQMW1O9P7pQ
agricultural,,農業的,KNjwTwRrYz4sXeNXwVUJ
aid,,援助,KOSWsxYPT4dZGaVqTZzQ
advice,,助言,KQzpL2CDphmKI9Pl5oS6
local,,地元,KTIyF4L7kHyPXxBBy5TA
accordingly,,従って,KXWGtZgqS8djIyvTAEIE
patent,,特許,KZCvtcsRmfuKRO2WW2Pm
coach,,コーチ,KbBm2bioVzzJkL3Pz3HH
obligation,,義務,KfJEAJ1kxjfh52f6Qdo1
promote,,促進する,Kk4M7U7yTPgd7HiEi0g8
convenient,,便利,KkMPCs378EnVoqoRkWr0
available,,利用可能な,KkgJuwFtTWCDaqhV9UfP
labor,,労働,KwRJoSHV4qqec2eY89bd
engineer,,技師,KxF5Z2xw6ZEEQ1CH6pZg
starter,,前菜,KzKVzqr7joIv7ECUlqvO
charge,,充電,L56EPOxbgXqS2m1kOd5b
overall,,全体,L5n6bQU80BAaFPZ0JppV
adequate,,適当な,L8meiuTEmbpyFi3eGPRV
locate,,位置する,LAdTrs5CI5QXbJkcBmIM
surrounding,,周囲の,LIYwoivYozKdOo5lhdiZ
package tour,,パッケージツアー,LLf6YvhyJr81SmCUcsko
protect,,守る,LM85RCSwrzePZY87l6fb
essential,,不可欠な,LMQsSImtRORNqUgJCkYI
anxious,,不安な,LOSKUV63WJE4xq21HCcK
compulsory,,必修の,LOb5cl4o05euZCZ1LxWo
consignment,,委託販売,LT5yeYwpuH5BpZ2sAfhj
trade,,貿易,LoTzE3VLi1iJg8C3svTs
include,,含む,LqCdQj2xsdwwyy48mOpV
applicant,,申請者,Lxr6NkxTXX0RVWi2pdPi
individually,,個別に,M0FAJ3rXGUb92xqFueic
notify,,通知する,MGhAilWefr85MDU4YC7o
slump,,低迷,MTrAWxhZO9zTTcQsHU5Z
studio,,スタジオ,MViGIjW7hZO0Nas33G92
environmental,,環境的,MZGG6Prn31oLil1ws9Zu
organized,,組織された,MbQB8jkLGwg0j5B1v6Bl
entitlement,,権利,MbWZjnNVcX8AXwVROfXv
dispose,,処分する,Md9pIRjrfgULiMZIx4Ua
claimant,,請求者,MeIjAeKLcXsxhUrFoosV
target,,目標,MefpGFKZU3grnpAN3nDt
improvement,,改善,MiaIKJXRiY0Rki3m5SQj
receptive,,受容的,MnV8j3HqYCLG7axuEY14
disagree,,同意しない,MsaVYgV6G4Flyf2uaBAQ
indication,,指示,Mt6Lan91iQUdnZHAyCWZ
accounting,,会計,Mvp14kj28rFZRxhGRnJ3
bid,,入札する,MwMPYDbd1Fuf4i4Zy85s
rent,,賃貸,MwfrcfWW6QhHIpXRltIb
theoretical,,理論的,Mx2hxPTlsrMn2V8tAKJz
belongings,,持ち物,N0qFoNjdg9JpkhC5hPiP
custom,,習慣,NAIM9rX8sDNOuZMdjo2Z
counter,,カウンター,NBfDAxTfiFoJG1CB6lpc
probationary,,試用の,NHlgtAiOFynADisxkXbC
complex,,複雑,NHrXSvSgJyLvptylWIto
circumstances,,事情,NN4pV7dUuvwjIet4uOPh
resist,,抵抗する,NOk3rgE3ESqsdTTcEYpP
announcement,,発表,NRUGWOTnbwiQNMiOHQZu
celebration,,祝い,NcxqxeiqcNIJQKOWMzEG
upcoming,,近づく,NgDAnguZNQdRwsqd55fY
recent,,最近,Nl5FrR7idDgD6k3epZou
disruption,,分断,NlQ7shFZUSLkkAjOkM2X
registration,,登録,NqtSW0H2MG7zuUGo482g
purchase,,購入,Nu7VBFfu2t1tKR0qh7AK
virus,,ウイルス,O0Aw0K3GDDFyBayYHPuO
distribution,,分配,O0RmuhU76eGMROhqFoV8
clerk,,店員,O1e9FQcXsZx3BH65Dt5E
briefcase,,鞄,O1m9ofpfWLlndtgnIlKt
loan,,貸し付け,O68W0wHa5kQDCiUuLP4b
medication,,薬,OAW82IJZytbBLqHH588n
reception,,受付,OMUiCvFwfh3yMJVwXB3C
remuneration,,報酬,OQypUoEN605KjAMfinws
policy,,政策,OToUHe6tofWFWW1FvhUD
avoid,,避ける,OY8JjK9GKWuE91U7OjCx
requirement,,要件,OdJ6bmwGQFMAxNz6OYaI
yield,,収穫,OghjOeAWfCO45l8qjSye
payment,,支払い,OgzUem3DMLqtiSVx30DM
pollute,,汚す,OnTSnY1CwfgiT1nzerIc
issue,,問題,Oq941G7qWKdjb9Uyhh9z
trial,,裁判,OqkjtEyNJ1HY5TAchZBz
forward,,前へ,Orma7J9HufUxZngTufq1
fluctuate,,変動する,Owpzsi7p3R9aEHKt2m6b
furniture,,家具,P558Dh3zzSUoqdOtJy9H
hazardous,,危険な,P9B12LZlujMGAQefKmkn
zone,,区域,PFSdplIvpYRbPclWqdkV
feature,,特徴,PHcoTKwMiBRf9vSnF7Ad
forgetful,,忘れっぽく,PL5DawWdsVcMd1ImqZF4
attend,,出席する,PZeYpyNwz1NZNnxdkleW
debt,,負債,PhdFcKwfUDOxpEejtBbZ
flexible,,柔軟な,PmPAVYgCSfJb9UtF6mZc
luggage,,荷物,PoN4zv3Ix7AbNxt98cQe
binder,,バインダー,Ptnod0agF0wT4YbuCSyM
jeopardy,,危ない目、危険,Pvnpe7jkAQlDhhvN5sCu
failure,,失敗,PwmLmtf5F3y67sFWXel6
occur,,起こる,PxDPSrcTE10WKYBgaUOP
discrepancy,,相違,Q055RUl4FRJ00CC4P8AR
manufacture,,製造する,Q1Was7998mP0PqD6lhX6
mishear,,聞き間違える,Q7LH6bLOKzHY2G6Zry5Z
bother,,煩わす,QDKsEfeCvgyD2D33e4VX
adjust,,調整する,QF1qMY4xSMO98PauA75J
consequence,,結果,QHs5MHQd00pofDuMrWk3
analyze,,分析する,QLxswdTgMWil3WoDbUC9
reschedule,,予定を変更する,QYf1pUjcJm4S16mVNmVX
complain,,文句を言う,QZ1NMDJmdK8azp98xrPi
inventory,,在庫,QbSHESXRoSgZ5bUnnctt
weight,,重さ,Qe3QWtr0rKI2R9BJKHDg
hide,,隠す,QhxK04IZbDhZLHZT3K9u
refuse,,拒む,QiHwiDBIb4uACC2FCfts
claim,,主張する,QkA950fzs01DizAoO5Ek
downturn,,下降傾向,Qn8KaJTx6skq4F9F754u
reach,,届く,QujWitRasOXsNc5NvjDN
track,,軌跡,Qx27xEc0iam4eyRv9xeG
consistently,,一貫して,Qz04CgqYr4x83Dyd2ODx
customer,,客,R8BPnrIYyWod3Iu5ScqW
document,,文書,REqXJIgrsXfHdqKBMGLu
fare,,運賃,RGsDI0eMXgUymVewmBHz
specialize,,専門する,RKNivEygMNo6YzAdjNp5
situation,,状況,RYKunFIVKy5k0ZUnNpXj
qualification,,資格,RYqRYOwybYjoZodgbII3
impatient,,気が短い,RZMzB0rmiDkEniHVPcnF
differential,,微分,Rb814VXSrkeGxKtjmf29
log out,,ログアウト,RhSGuTbnTjYpcASqXl5v
inflation,,インフレ,RklWiLWnn9JFJqbBp2QH
dramatic,,劇的な,RmTryTNvaDsB9xWEYXtY
agency,,代理店,RoYyRdUZbtpIxQbW7Ztu
audience,,観衆,RomsjZulbnU6dR2eqSDY
constant,,定数,RrJ4ZMCDRe37jgI1VRgH
diagnose,,診断する,RuheqBv5EdXzdigN15EN
audit,,監査,S57pV3hgNjLStK9JKqj8
regardless,,何があっても,S76AecyG50hh1wfcoZSN
developer,,開発者,SDkmtbaKMc1GdU9qZIHN
retirement,,引退,SGK0xfDbtABMPpOzdE9V
know,,知る,SHB4lI7rgwTh8qBzvAI8
label,,ラベル,SKHOKGvxvuARgi0WJd1U
practical,,実用的,SUxHs3rUnkc9XeArDhUU
experience,,経験,SXHasemo44pm4uWPCKeJ
complete,,完全,SZCkIS5yLHnYCpZcIE7g
regular,,定期的な,SgidmpHFfzv2lKNVm6Dz
presentation,,プレゼンテーション,SkPjv51Tx6ka6YPACnLC
warn,,警告する,SkxLFtUM6pfk3qnNIXa7
onward,,前進へ,SqJRL38yR6IyapyB1foT
hike,,ハイキング、山歩き,St61XDJaLISfDwpfHk6x
departure,,出発,StO2o9bM4KkbtnkvuYfq
encourage,,奨める,Sw5eLxqja7TyIkFrHnf9
assignment,,課題,SwIYlVOJiKMfrCsc3KKi
downward,,下向き,SycZIyGLBvJXmCLkGJaU
