#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
陰,かげ,陰,3PSl4eid4QiZWsVEfMvh
人気,ひとけ,人氣,3Q6C8YcJwc6kOP8lLLMK
スピーチ,スピーチ,演講,3Ums9xRUcuN6Zt2UkAEe
ドライブ,ドライブ,開車,3UxKilmXqd1334zo8qbp
決行,けっこう,執行,3X4URLajHnHrW4jh4g7V
少年,しょうねん,少年,3YiQLpFihOWUJMUU7WNo
年鑑,ねんかん,年鑑,3Z98UfvMR3IVtDAoKJ1o
仲間,なかま,同事、夥伴,3ZelZIcBWkK7Nqj6cZrv
博物館,はくぶつかん,博物館,3b685CNfji0yHiLcy3g3
平均,へいきん,"平均, 平衡",3iGncWVmzsGj8kRdlVbI
屋根,やね,屋根,3iohUnpUA6V4DTYQGsUQ
乾かす,かわかす,弄乾,3jnYFikh83VJFoMwjHwu
急激,きゅうげき,急激,3kO5XWxhf4EJBUJuHa7r
大いに,おおいに,大大地,3kjrzqqfGnMjsuVMRdGA
尻,しり,屁股,3kpTnMPey0XYfLN9ztVu
医師,いし,醫師,3lWuhBS4X2TZnB5qWcP7
冷める,さめる,冷卻，消退,3neh0gok0aG6dXA51UU0
賛成,さんせい,贊成,3oBF5rdncUzWVmxsjirY
渇く,かわく,渴,3r03n15VMmqNPpBVdZTb
脳,のう,腦,3v7kLPB2txY5MH0ZWNQN
慌てる,あわてる,慌張,3xMXfX0LsvBW4r7oYF4f
大戦,たいせん,大戰,3zPEH6L6RqjAUjOz7rJM
数,かず,數,44O6XyIsKhQMepnLxinp
裏切る,うらぎる,背叛,486vnDmdc4Ye1N9xco0W
世の中,よのなか,世上,48nXcmDZMli7wGxCP1op
成長,せいちょう,成長,4AG2MZOG11Y4dRlkXBio
尊敬,そんけい,尊敬,4D2uWolZzQHOo0jLklAF
空き,あき,空位、缺額、空間,4D6sr9TRXihNFfzehwwd
清む,すむ,變清澈，變晴朗,4Euq3p8d9mox8vtupV5w
青年,せいねん,青年,4F2eoQ260DsN3gITz6TG
出来事,できごと,"事件, 事故",4G1yeW10iR2w8qVQBdMV
あちこち,あちこち,這裡那裡,4HByavpH6pkYYa7kBnhK
ボート,ボート,划艇,4ImDa39EHElcaMxtZcFS
助詞,じょし,助詞,4JUkOomDatDYYbAOcQt1
版,はん,版,4KTqbVzR5EkXbaNM2sWO
機能,きのう,功能,4LVUkZYuAIMQKe3jAYDc
強まる,つよまる,增強,4Nqqy4NrLpkVYJgLNRLk
こぼれる,こぼれる,"溢出, 灑出",4SQCfTeIxr8hYKgtYawS
稲,いね,稻子,4SpjHXZbl9sqvz0le8W0
合わせる,あわせる,合併,4T5Z2IJIFcKXiByS7nd3
支える,ささえる,支援，撐住，維持,4Tee5rUdn9yPnTTQ2FY9
抱く,だく,抱,4UIZddNEAna4zsqCzhGo
唯一,ゆいいつ,"唯一, 獨一無二",4X2LSrA7uOQsCNGXq0ht
預かる,あずかる,代為保管,4XXr2fKBkvjaEHNtcuJQ
予想,よそう,預想,4YDSCR4TRkGC9DyqplAT
火災,かさい,火災,4bcCk42Wx01Im4ObHwdm
相当,そうとう,相當，相當於 ~,4cLMvJ7yHJiWN16oN6HS
処理,しょり,處理,4d6cT8BCGBHpGeEmso2I
蒔く,まく,播種,4hkvgn7fanCb7ikZyoqK
現場,げんば,現場,4kOMhoMM1batAYywSXNh
松,まつ,松,4lO6mwfiUNopEL5vitXP
肌,はだ,肌,4moUqXqkmpk7lKGUtNsl
写る,うつる,被拍攝，被投影,4ogXII5tmnvyq05Quhud
胸,むね,胸,4qVpshakxo3bPbSa9SFT
訳す,やくす,翻譯,4r2pbbK6MVrxL835dg6T
とんでもない,とんでもない,豈有此理！,4t55XAQ0AcFuKG00dLFo
資格,しかく,資格,4uFcvxeTj7w2HQwgV3Q7
依頼,いらい,請求；依賴,4wwQaycBIa0uCGg5hX9r
能,のう,"能幹, 善於, 良好",4xAd9H1PJqZshefNK6Td
僅か,わずか,僅僅，微少,4xHyBOiX4L3waMdO8BwE
位置,いち,位置,4zL7wVPqcK6vKhcX3SGY
商人,しょうにん,商人,4ztn262H1eKaZWxS8wuW
光景,こうけい,"光景, 景象",50fS0G5DieNsM9LMisfa
推薦,すいせん,推薦,55XeglZQjKYzOYwWr4HK
集中,しゅうちゅう,集中,57UcPKfVdsb1SgyqgrUo
腹,はら,腹部，肚子，胃,58CSk0ZGox5dDidpv4Aa
怒り,いかり,憤怒,58T5h4s35ziuJJMCqtkn
伝統,でんとう,傳統,59k09JOdw2waV2kIuxBh
まるで,まるで,猶如,59z2HAYlzukNVzQdF5vi
鼠,ねずみ,鼠,5BJqyTms5eUUWBI3RmpL
当然,とうぜん,當然,5DI05q0g0rBa0VPfryVC
およそ,およそ,大約,5FtVJxeZ1KWWDpklvTSJ
知恵,ちえ,智慧，機智，智力,5GRD4xMbwvOfW0FQrXdA
大家,たいか,房東,5GiJgkPVxMRz6DvVPfxP
洗剤,せんざい,洗劑,5GsYwX66GY5kssNOAMxY
創造,そうぞう,創造,5Guj8aOuYe8hynM3duxN
国家,こっか,國家,5MxE7r7VzM7nH0TDAoXT
幅,はば,寬度,5N2V7yn00DQJR4dT8DIS
氷,こおり,冰，雹,5OWRhfNynV6KasTpgPWE
幸せ,しあわせ,幸福,5SAofunQePhBzGM1fHzK
膝,ひざ,膝，膝蓋；大腿上,5SgTM0smnicbLYpK09Rq
金庫,きんこ,保險箱，金庫,5TLQQU2xZLbUtx9rbwWL
単位,たんい,"學分, 單位",5VmaGoD0alTb8QiNzjmD
国会,こっかい,國會,5W3u8jmodKMOE3Sl0Oqq
ノー,ノー,不,5XkHxrzKhSn1tBPzIGAV
歩道,ほどう,人行道,5Z3NWVx44Np1SApP9zrE
殺す,ころす,殺,5ZbrPYEEC0qLcp7jAJ66
者,もの,者,5ZcLWIyk9VehdlkkcxXe
知合い,しりあい,熟人,5bMNhHHUHciDnYe77xzu
死,し,死,5dQxQ4SYqfAp5075TcrQ
季刊,きかん,季刊,5iGenRM58KZG7dN8jizW
参考,さんこう,參考,5jeAZxbQ2Goc3PAa51dk
患者,かんじゃ,患者,5m4TgXu3mEjVr0dvimK9
農民,のうみん,農民,5tPx5kUb1MKtxQacPsVJ
未来,みらい,未來,5v1KMPRxLJFb6ptOBMcO
射す,さす,照射,5vcLQsVavsTsLQOtoksJ
熱中,ねっちゅう,熱中，狂熱,5xSnlDOhuNNMk8gKpvM5
保証,ほしょう,保證,634vYmCVsG4j0ykJGQGb
単なる,たんなる,單純的,69wE3J4EcYhgD6dseuBn
倒す,たおす,"擊倒, 打敗",69xKxnhcpFIGZsz110kh
こぼす,こぼす,"灑出, 溢出",6GVC4Y9HaxXao3ZvB5rl
針,はり,針,6HoMplpbSBczN8RlbgZf
僧,そう,僧,6JVSVS9bHDBG8Fv4K2o2
四季,しき,四季,6Kg3tmPkNS1819kdeHEE
志望,しぼう,志望,6KgFvfPtQceRV1Z1QqEx
切れ,きれ,片，布，切,6LNtEotL212Rsb97aOjZ
粉,こな,粉,6Mm0K3NOZ4qKlshwNBct
酢,す,醋,6NWmKf2vjrjx4D0HXtIx
密,みつ,密集，親密,6PQsjkcTswPf3NKp8Lad
語句,ごく,詞句,6RfJB4ksvztZb8GlTGwD
示す,しめす,顯示，指示,6RhEkhHACP12zyE2HwEQ
いつでも,いつでも,任何時候，隨時,6RjMLYNtddy76J5qTLnv
綿,わた,棉,6UMR4gfuqWOzaqKiw0FZ
勘,かん,直覺,6VYD0AEbVAzXCo3y9MEn
経由,けいゆ,經由,6WRbYwYJkVIfMyzGm6Rt
攻撃,こうげき,攻擊,6XdoAAEutXsmUWhOMO3V
愉快,ゆかい,愉快,6dl1juVy3jYZBFa5kyUr
宿,やど,旅館,6g5zokLbSMEiht5wVEN8
戻す,もどす,恢復，放回原處，退還,6h3N5RzGquRDk6yUm4l8
馴れる,なれる,馴化,6hMJqOQkUNkhjxPCgPtk
服装,ふくそう,服裝,6kuyrPJKA9mx8kmUYYBd
思い付く,おもいつく,想到,6lbFouJZjZhymeHNj2OX
双子,ふたご,雙子,6m0TUmEsWFzgO6bef8eR
引用,いんよう,引用,6nBDA5n0mfSAjVlNUjle
女子,じょし,女子,6nYZiN9iK0aguhpXMeO4
片付く,かたづく,整理好，解決,6oL1YApKjHNlm3ZT5U5O
混ぜる,まぜる,混合，攪拌,6svzM7EdLynIPXQLoars
さて,さて,那麼,6tRAoDKyv3ebeveyykYk
塀,へい,牆、籬笆,6ttZmwfJK26X0MaBMCQT
偶,たま,偶數，對偶，朋友,6v1eoPsnjVQZI7WrpenS
吐く,はく,嘔吐,6v93IeMBcMcKoMc39uIl
辞退,じたい,辭退,6x6NmmCLFDVl9ypdasOy
掃く,はく,"掃除, 刷掉, 聚集",6yY6X9n5iXLEh61oWmBA
撃つ,うつ,射擊,71nh8YfvEJPfBQBDDbJX
キャプテン,キャプテン,隊長,73PPg0RAultowBmHvFPQ
全て,すべて,全部,74GugtNZa0pTBLQpwyAt
流れる,ながれる,流動，被沖走,74vNTfMQzdYIOYkWNqNl
活動,かつどう,活動,78rxt8RhLSBFja4efS2o
哀れ,あわれ,可憐的，悲慘的，無助的,7BdzLoGg9h5W7lYKFZtg
状況,じょうきょう,狀況,7JTDBfmlwFS6tbmP2oDF
都会,とかい,都會,7Me40OvWX5YOEJO4rnew
溜める,ためる,積累，收集,7Of5Z5LrBZqX33ZGMntO
神,かみ,神,7P2MNwgRKlc4rB1TsCzG
教科書,きょうかしょ,教科書,7R39vrOKwykkrX804hR7
天然,てんねん,天然，自然,7SKZnJXLaj8rLBJ8Kov4
それとも,それとも,或者，抑或,7T14UghvianokVzUfx2r
学者,がくしゃ,學者,7T9uoINc5q3OnxiJssTj
善,ぜん,善,7VvxpUvpJOR4r0iwo5RW
伸ばす,のばす,延伸，拉伸，伸出,7ZJwVZ8C817L0DDHmpbQ
一致,いっち,一致,7bODDtlCo86a630h1CdA
余裕,よゆう,餘裕,7bpyU46f8pz7MU9rqixQ
蹴る,ける,踢,7fxhnuHA36V3LiRr2uUz
笑い,わらい,笑聲,7gVVODoLGEPY4LMQo3Ck
次々,つぎつぎ,接二連三,7kYOmQb9egljZ62Nqxz9
議会,ぎかい,議會,7r7mCxzB51eNyg23aQ1U
鉄道,てつどう,鐵道,7vGMNrJrazYR5lo4OXax
これら,これら,這些,7yomWJVz5SqSgndFuGdP
年中,ねんじゅう,整年，常常,7zj0fNFDdtMjOt4IYI1u
奪う,うばう,"搶奪, 剝奪",80cYeWxks8xNlFFs3jab
限る,かぎる,限制，限定，侷限,88i2ggXGmKtl9UFjibNd
優れる,すぐれる,勝過，超越，優越,8BE8OjXtd2EeYQi4ZC5m
お互い,おたがい,互相對待,8CEjwNg6eALX0uU3pab9
取れる,とれる,脫落,8CQ35GW1kg6hvkIvlgGx
札,ふだ,鈔票,8J26TjcBGtSJMmNB2j6J
鉄,てつ,鐵,8Kruyzvv6EJfjiAC4Wpw
銀,ぎん,銀,8MVnfvNroYrGGqWWVF6L
代える,かえる,交換，替換，代替,8N8XaKuqcmqhwIidKSaO
汲む,くむ,汲取、舀取、抽取,8QTk21oruTwFUP1zESnV
整理,せいり,整理,8UFDvtdeK6O0AQ1jm5fa
欠ける,かける,缺乏,8XkYiNMrcCAbdFgyShCT
極,ごく,極其地,8YI1DmwNQmwP54eYS0rh
振興,しんこう,振興,8cr0ZYwtn4xdCQFLQheg
夜,よ,夜,8fGkMwVETXiPWZFynjDv
骨,ほね,骨,8gZ8JktTwvN11xCcnSP1
裂ける,さける,裂開,8kazkR8JxT3A7tOJnfIQ
成功,せいこう,成功,8mTqXVwByK2msdSruzO6
供給,きょうきゅう,供給,8nLlCdLDrehyVbM2LQNt
けち,けち,吝嗇,8o4v8ZfMFvB1KCwxafIk
発射,はっしゃ,發射,8uEN6v3Bq2yFAIeue4PS
鎖,くさり,鎖,8xcfXS1ESRwZycq71MW2
もしも,もしも,如果,8yHb7aywY5lngiTuAT1q
操縦,そうじゅう,管理，控制，操縱,8z6jZZ1iPlkCgsnnEZsf
受け取る,うけとる,收取、獲得、接受,913BFIFF5svlMNGmF8JQ
責める,せめる,責備,9141ICH3KUDSXdWIMdT2
辛い,つらい,辣的，鹹的,91pem42u5h0sgfQnsOHL
不正,ふせい,不正，不公平,96DZCgxcADyHtYj32VkH
経る,へる,經過，度過，經歷,96J2YEBOKEsEOlXPDBso
商品,しょうひん,商品,98GgGXG2DWNJuco3wY9I
個々,ここ,個個,98qI33NVgPnI5FVdMY8R
招く,まねく,邀請,99lF7qJNeVRt7BoXCWIn
代理,だいり,代理,9AQP8zlZTymnWfS5TjED
行き,ゆき,去,9EDJFKQsiTMqPziuQ50H
縄,なわ,繩,9J8mNjdja2B2ADJkyS52
ばったり,ばったり,偶然地,9JUKwg37QAO4WwK7M3Ou
損,そん,損失，不利,9LpBcwOjcZn7hNApeNBa
愛する,あいする,愛,9N7NKiPCG5jOvHFXJeZQ
必死,ひっし,拚死，極度渴望，必然結果,9Ndx2IfAQSihAbrVFTEh
飾り,かざり,裝飾,9PSiZxEM0tAVZwR3A2dg
家具,かぐ,家具,9Q4kCMTGBEbSRaxH3RrC
吸収,きゅうしゅう,吸收，抽吸,9QA60YKp6VnXc5xzpFXm
向ける,むける,轉向，指向,9QEKBrUkMyFATLeqoiy6
デザイン,デザイン,設計,9RRlihTMLgNI7MvcP4QK
出場,しゅつじょう,參加,9V53mJ3yzNhVT3iiM8gL
実現,じつげん,實現,9VSgOT2DlCh5v4rPJnei
頂上,ちょうじょう,頂峰,9Vb8jouYdID25lk5I8rV
貸し,かし,借出,9X2AXzJdQ9lx0XXeD8uv
命令,めいれい,命令,9ZKlFKBcfvFidYabALQy
視覚,しかく,視覺,9aygnkpd4ZlZr2Eq8rTk
拡大,かくだい,擴大,9e1MNCpVnt0NjY4PiIMu
温まる,あたたまる,暖和,9jIUTXtGPyCc7pt0OLel
燃える,もえる,燃燒,9jeZp6Euts1wuGhpgY7L
生じる,しょうじる,發生，產生,9kwD90JMmlJ7DAtD3OlJ
温暖,おんだん,溫暖,9m6AH08BjmRC6gW92R4q
協調,きょうちょう,協調,9mj6fwTOES2lp3fARXfj
チーズ,チーズ,乳酪,9pHGYQBXVVgYPfxdUvb1
スケート,スケート,溜冰,9pwuBfvBIVoZX4qC7YZt
夫人,ふじん,夫人,9qb6Q70i1pwnZ2dXLpYw
片付け,かたづけ,收拾，結束,9sV4lP8wnvEZqMquLheM
手間,てま,工夫,9vDJakYZDRrrNPuxl8Fl
予算,よさん,預算,9wjZAdUhkgtHXWo7Jqpy
混じる,まじる,混合，混入,9xdfZGLA4S5ZWkhDNfko
臨む,のぞむ,眺望，面對，出席,9yBk6ohNwIB5TrcqGz5M
夫婦,ふうふ,夫婦,A5IRj8VaYBO3kNQT724p
制度,せいど,制度,A6NYlAmDskCg91tRk2B5
何とか,なんとか,設法、不管怎樣、總之要想辦法,A7CUbrRHmMhAJc4MqSnr
弾,たま,子彈,A7eakAH1rqF226ajic6s
きちんと,きちんと,精確地,A8GeshdvGaJNPGRt8dq1
定期,ていき,定期,A8Wm32d21vHQmw7Rn0zc
向く,むく,面向,A8kU7LBdUGlTTd2IzJV7
賞品,しょうひん,獎品,AA7FULLCEe3no7A321cV
かなり,かなり,相當地,AAWHx0Ajg6rZijmaPLBU
袋,ふくろ,袋,ABppsQsnAugbR4ZVirPV
座席,ざせき,座席,ADO8Pz8ZcIKGiNtvhrQB
解く,ほどく,解開，解答,AGh2usKol4MyL3La6oUc
女優,じょゆう,女優,AJszyXompfdnnWa5NtQ9
失う,うしなう,失去,AOTZDx12cND3PlWqATBJ
得る,うる,獲得,APdTdKm6hpT6jBOaoKPQ
こんにちは,こんにちは,你好，您好,AQ82WE5ruNPVsLQfjz4T
近代,きんだい,近代,ARWVExCC0sYNtv77DaX6
高める,たかめる,"提高, 升高, 提升",AT8kqK8Yqps9dK5a5Jxr
契機,けいき,契機,AVUmvFFWvoCHWLGZ4otW
願い,ねがい,願望，希望，請求,AWX46puhlqzYQXW4RNt1
たしか,たしか,確實，若我沒記錯,AWoS5j8EB4zsWmn0IcTj
アルバム,アルバム,相簿,AXL9I3y3r0xcupeMC5s6
注文,ちゅうもん,訂單,AYAW36x2x3RXI5VZouQ1
迷う,まよう,困惑，迷路,AZ04CyCqq3wj1fCWjJ9C
語学,ごがく,語學,Ab4W9Bsm0XB5LAudJyOL
容易,ようい,容易，簡單,Ac1JcrypLWP6tRMG20E6
ビデオ,ビデオ,錄影帶,AelMjqBOIIivbgkh1JBx
無し,なし,無,AfPyaAIgL5wyoe3I3B5n
段,だん,階梯，級別,AflydVWSrPnje0g8QXOM
重大,じゅうだい,重大,AgKJ5nKvxRP7gHoctw7Y
掴む,つかむ,抓住，捕獲，領悟,AhNkNexmmz76nhPefSVJ
芸術,げいじゅつ,藝術,AhODFCFNbtO4syFIqgVg
名詞,めいし,名詞,AiTEByFVLLT60xwT5a6h
混雑,こんざつ,"擁擠, 混亂",AqyoqBTIB6pbpUWKVyO2
経緯,けいい,經緯,ArH1JGt8PJbm8OcqeAUd
化粧,けしょう,化妝,As8mzCRPpbYeRf04k2L1
換える,かえる,交換，替換，代替,AsUdubd6EovFIRZADEZM
中央,ちゅうおう,中央,AvXWJGvQBhHwc4JBHT78
快適,かいてき,舒適,AvoybMKOzRFQ7GRtcwTx
時刻,じこく,時刻,Avwmhu0iWDi7ZdkOyLbB
一瞬,いっしゅん,一瞬,Axb2HzCAAs0qpJ2SEQ29
衣料,いりょう,衣料,Ayn2vU0PZD75oEwNWEnf
暖める,あたためる,暖和,B1WofYedHatzTRpJSdav
規制,きせい,規制,B6124mUoNzwIce5jrISh
棒,ぼう,桿、棒、棍,B8YdFxMKCiKc3UlfuUft
引退,いんたい,引退,BCrnylnIXu2Nncs3sik8
料金,りょうきん,"費用, 收費, 車資",BESCw0qDs377pTOqyJO5
技師,ぎし,技師,BGV1AmsiiyIv9xHofDcL
チャイム,チャイム,鐘聲,BMSdGX1B5VuMcOiJgiR9
震える,ふるえる,顫抖,BNCoXTSmsRDHaVizBhje
自己,じこ,自己,BPF7Kas5jTGv8FtVNpo6
同志,どうし,同志,BQziMyNZOt1vSyEdavvw
迷惑,めいわく,麻煩，困擾，討厭,BVIo6wJueMeTRYTsY3L0
修正,しゅうせい,修正,BW59Q1Z25DaedpgmjFar
鍋,なべ,"鍋, 鍋子",BX8aGXinyonXmtUSNb4o
そっくり,そっくり,模樣一模一樣,BXpQ1nSfjRzZbtatz5ax
現在,げんざい,現在,BYw9V8rTHvzTTlGlh3Xm
贅沢,ぜいたく,奢侈,BZyC55gjZIQQDscYmVTF
気体,きたい,氣體,Ba1xYxEJNoMkk1rH0FeV
立ち上がる,たちあがる,站起來,BaQaLa3GsiVTSTSpbE0x
溶ける,とける,融化、解凍、溶解,BaTJkvuKbq0VgWGOH3Am
今に,いまに,不久之後，很快,BaUqV21N5Oc3432h3i1z
集団,しゅうだん,集團,BeUKwJMsudlMRIgNS8qO
宝石,ほうせき,寶石,BfC3at8HqKz5jidxm2lB
論文,ろんぶん,論文,BfWoT9THyeY0nalaP6xy
