#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
～ばかり,～ばかり,剛做完，只有,3YeL0XNvcipEUCVriYgA
足す,たす,加,3odNAQgw70odS3ZWcGFb
億,おく,一億,3xa78ID7AtjktIrm6wOX
特に,とくに,特別地,4881uzLoFCHB2KXeerB1
運動,うんどうする,運動,48gn8FWuR8NG3YvJrrqu
さっき,さっき,剛才,493mTpIDMvUSbJKvFHo6
絹,きぬ,絲綢,4OYjvN8IIfuo1q8G2ecm
祖父,そふ,祖父,4PyHJLbWI2AIE0Sc0H48
済む,すむ,結束,4TroCjBVFy2pVKlcbEfG
ぶどう,ぶどう,葡萄,4hAwnV27lCRoRYD085pC
調べる,しらべる,查詢，檢查，調查,4iAEUc6Y6LgXhXfFo0FQ
専門,せんもん,專門,4kyFSpfvYO0tR2Xv1GDQ
見物,けんぶつ,觀光,4okzDoRbs9r5XOq7ygcJ
用,よう,"事務, 任務, 差事",4qwaTtZLRNQdkApJy1hq
逃げる,にげる,逃跑,4rGa8fzHiL443quqCzDk
天気予報,てんきよほう,天氣預報,4rZMMmOtgpHxRWIViYic
アナウンサー,アナウンサー,播音員,55e6xLFZ9j9lha5CRYHb
腕,うで,手臂,59zukHkeVO5SjM9FbEnm
坂,さか,"坡道, 山丘",5BHsBRJhMXWJxPqB1IQA
高校生,こうこうせい,高中生,5Vciwujx68ObjJpxfAH9
アフリカ,アフリカ,非洲,5VybPPVX2hhGcmkHT0Uv
今夜,こんや,今夜,5XbHzK5pPZGZS3g56HzL
米,こめ,生米,5YtRrBWW7EtFYL0SaVwx
～にくい,～にくい,難以進行動作,5Zi3oi81zEGp06Ca0QRZ
ハンバーグ,ハンバーグ,漢堡排,5aBmT0kZcC7yS7DD5ytz
特別,とくべつ,特別,5xyM6HSRuKRDT3Nw91Ec
床屋,とこや,理髮廳,62bbjczBQoyDmFN1VnUK
～区,～く,區,688f4XNOFJwV6FsmGEmX
アルバイト,アルバイト,兼職,6Ei9ESB9rRdLG7SzinxT
駐車場,ちゅうしゃじょう,停車場,6OgI8xUte2l0ImgoCyR1
一度,いちど,一次,6Qr4wSzSfcZyumAqh4JD
直る,なおる,修復,6YToqxqXNZHS3cAK9y3c
僕,ぼく,我,6YgioaQ7DRP01GHYK1X3
案内,あんないする,"指導, 訊息",6fx3yZblAstOUaosreNv
ジャム,ジャム,果醬,6o0EDap7wQzDq7kCoQEQ
カーテン,カーテン,窗簾,6rrOo20KJ01L5FFMblk6
下りる,おりる,下來,75JiWKMzH6mUZMlDiT7J
最近,さいきん,最近,79fVOs1zNFGTWUvdeOAB
布団,ふとん,日式床墊,7AGJIcEGAzvOncIq599h
社長,しゃちょう,總裁或公司負責人,7PsT6QmzRI5idcmN98OA
ご主人,ごしゅじん,丈夫,7XmJ4v6cwLkaqwAJjJkB
指,ゆび,手指,7f2pXP6Q2n4tfwUzZRBl
オーバー,オーバー,大衣；超過，誇張,7n4hSWYQI7nZefn0x79U
美術館,びじゅつかん,美術館,84BwwOfSHwSVZBU8cLqV
格好,かっこう,外貌，態度，形狀，形式，姿勢,886UJ8vcagV3oVjZDuCF
差し上げる,さしあげる,給予,8BeA1QjLPSdW6BXos65a
捨てる,すてる,丟掉，棄置,8BifQnk2d2WaiVXivVXt
研究室,けんきゅうしつ,研究室,8EDAId3Pd3yuk2pJ3TJF
すっかり,すっかり,完全,8EWtgLnpkjo3rKjFJRpC
十分,じゅうぶん,足夠,8HFHdhF0kIas3vplvQFC
知らせる,しらせる,通知,8JK8BAcq54HGOpEi4nrG
匂い,におい,氣味,8WEk8I1cdz7w7ztzVO5p
思い出す,おもいだす,回想起來,9N4Odpg7djWLleMKcwc4
～目,～め,第～,9Y1cpfeVnpzy9HRX462d
そろそろ,そろそろ,快要，逐漸,9euMfpg4q5RaZt4zaYnk
怒る,おこる,生氣；憤怒地責罵,9fSKzivsTBNcw7Hl2iRd
説明,せつめい,說明,9i6lqQ8wqYFEEqvh8aJB
事,こと,事、物、事實,9oZ05eXP8kdrz2JYdz4l
ほとんど,ほとんど,"幾乎(almost), 大部分(mostly)",9qsTf0T0tZkz3IX057wB
砂,すな,砂,9ww0mYsMS2CVaeQKC8Af
くれる,くれる,給，為...做,9x0S4OToCAfUilIHlC0S
反対,はんたい,反對，抵抗,A0I93p7PPobzYZtudq0z
通る,とおる,通過，經過,AKXcky6L6mTLUtkxHIxQ
子,こ,子,AMkkEMkuyJhC2mPsbNzZ
品物,しなもの,物品,AOn8RacHX7AuTmuYtLnB
値段,ねだん,價格,AR9LqCZnGiRGN1leyvHl
うん,うん,嗯，好的,Akf9weIcLpJDqBa8PYo7
～(て) しまう,～(て) しまう,結局～(～),AtzJuf6dgB2pU9eR8iTY
素晴らしい,すばらしい,美妙的，極好的,Au7L5oT4GjilAjS3GW4b
残念,ざんねん,遺憾,AubmMNQtosvE5I0nEg5s
～軒,～けん,房屋計數單位,B6z7IkyizDHYAPLbhms5
褒める,ほめる,讚美,BAPd39Jcqnnq8ELtBs3R
政治,せいじ,政治,BG1gxFKDXcs6gmuhqZfk
彼,かれ,他，男友,BGPoRWywEuGlSqxVRyff
別,べつ,區別，不同,BMyQfn5b0pHsIPS3SAm0
片付ける,かたづける,收拾,BT9ssTqW6EqsHmtI2ss6
眠い,ねむい,睏倦,BXxJlPeCRmTOnNUcrkHG
押し入れ,おしいれ,壁櫥,BYmMjpat8znTLmbgazBZ
迎える,むかえる,歡迎，遇見，問候,BfSpLMTr09T0gNRxjZSQ
店員,てんいん,店員,BkMJ4kpgZL88UXtAc4q4
周り,まわり,周圍,BkdtTfMNBtqhsQDi4WPA
人形,にんぎょう,人形,BtaD7MR2I0jdUleMNBHV
失敗,しっぱい,失敗，錯誤,BzvMctzohv9EKWAVnXZQ
冷房,れいぼう,冷房,C1NA1dUPfMWU81gMFYZJ
そう,そう,是的，這樣,C4hszeLLQCN4ILqBXwPQ
いらっしゃる,いらっしゃる,來、去、在（敬語）,CTXkwFk8v43gKD68MOIW
ワープロ,ワープロ,文書處理器,CYygQoINWZE5KgPpgr8K
興味,きょうみ,興味,CeD9ikaWTUI2lT37ZqIE
空港,くうこう,機場,CiqE3d0flSenV1y5zMen
火,ひ,火,CmjytVqmFWYfkc6AhCiV
やっと,やっと,終於,CnUiOKIG0QBSv5Hjxhwg
きっと,きっと,肯定、確實、一定,CsCMSYRiVjUU7PS8S3lg
間違える,まちがえる,犯錯,CsQjoUStYAT4G91KTdQ2
堅; 硬; 固い,かたい,固體、硬的、堅固的,CtqzfO7KTJNzWrkOgxoc
なるほど,なるほど,我明白了,CuQD8hIEtLVdZu24BgWR
サンダル,サンダル,涼鞋,Cud6B8ESAoPBj8JLM6oT
小説,しょうせつ,小說,D5KjAuzIHJRxj2JhmGIy
～始める,～はじめる,開始〜,DDXraOaUrWiSeIJIKoup
倒れる,たおれる,"倒塌, 崩潰",DGiMwAPzG0lz5ZiFJwhd
～だす,～だす,開始...,DIXo2WzwLEbR0WgahtT2
お嬢さん,おじょうさん,千金小姐,DNJWzLEoRuCXkj4yDVHk
どんどん,どんどん,快速地，不斷地,DTlCpvNjetv1D4OM2p7e
急行,きゅうこう,快車,DXdLLSCAi0CHX87LEw1e
あんな,あんな,那樣的,DcCahouAr1nLwxk69hWf
中々,なかなか,頗為，相當,Dlb9jyiQJdGjAmcPCMHA
おる,おる,在,E8xRSXj6NtG0m2klk6sC
将来,しょうらい,將來,ECIdcwARbqq8DdppmvoW
打つ,ぶつ,打,EDvhJf5mIHhLHPTePAR6
回る、回す,まわる、まわす,繞行、旋轉；使旋轉、轉動,EFqwXMOKo7hRfWCnHa1u
以内,いない,以內,EHW2mKc6u0NGt5g9ymhC
寄る,よる,順道訪問,EM0BP0gPEq97Eg798XjQ
久しぶり,ひさしぶり,好久不見,EQTFJhNh2B95Zh23VIkE
くださる,くださる,給予,EU5TvsdKTLFY5S6Iiff1
関係,かんけい,關係,EYChYAf6sHiZZbd1FCFK
嘘,うそ,謊言,EcuV1VM4OJlG1LqnPQ8f
赤ん坊,あかんぼう,嬰兒,EnNR4U0sOru6jKdiM3vW
比べる,くらべる,比較,F8nKwZBlf2BlwsRNSxQe
入学,にゅうがくする,入學,F9PQqzPZCQaFSkGhcNyI
騒ぐ,さわぐ,吵鬧,FMGyqat9haoNyFrYplld
ごみ,ごみ,垃圾 ,FQhNkKzYDyjDkivNBD81
丁寧,ていねい,禮貌的，謙恭的，仔細的,FRu3DEBmCuqahNXv3CfH
滑る,すべる,滑動，滑倒,FYQr044J03J7jZhYqRTc
頑張る,がんばる,努力,FcLrP9XAZDPhpVqQFKPB
なるべく,なるべく,盡量,Fd4owXPDKQbsQ5jW4hrm
コンサート,コンサート,音樂會,Fg0yljf7KR11isV1A0Mm
工業,こうぎょう,工業,Fm8GZb6gW2tlvv3wERJg
選ぶ,えらぶ,選擇,FvAGBqsvvr9DKF5qi6Hn
折れる,おれる,折斷，摺疊，屈服；轉彎,FwjWdvHW1Bi0TOI9sikz
試験,しけん,考試,Fyx6OKpwzWpE7Yy9oXrO
全然,ぜんぜん,完全不,FzjaHQ7dvaJZsPwnuL7s
虫,むし,昆蟲,G0KKi3wEfbNQulx7KYhx
踏む,ふむ,踩踏,G4M3vVaefssPkEzxerwx
医学,いがく,醫學,G4agBDwscGvrWbg2GWks
裏,うら,反面，背面,G4bQ8QIS3sgRxuM72LyD
けれど; けれども,けれど; けれども,但是，雖然,G4cAZFxjFB3iFQmNtNlG
嬉しい,うれしい,高興,G5bjT6Ghdr6Uf3hDYeCI
うかがう,うかがう,詢問,GHP8vl1w7XXx4goR3nBN
変える,かえる,改變,GJQsKZy70aExSQRZfIyj
人口,じんこう,人口,GQD9Whqj64NMKU8uoDzV
尋ねる,たずねる,詢問,GT0QhQiwMuTrnKpiVouv
教育,きょういく,教育,GfUBB5dHUjFk6njFi3w8
終わり,おわり,結束,GlT7FjPm6oK8j2wpjbcV
お金持ち,かねもち; おかねもち,富豪,Gpc3swGvYtAJ0w2BhNEW
これから,これから,從現在開始,GtWjRGDBCDBdUDA1WKRQ
あ,あ,啊,GwVhE7tnGjsIPdzhMCNJ
校長,こうちょう,校長,H11Xwdi0JoXqpwM3zcrW
～学部,～がくぶ,學部,HBFEXQqR808ssxGGqeOq
会議室,かいぎしつ,會議室,HHk3I7asMYJA0o3yBFPj
連絡,れんらく,聯絡,HK2gEaKbZyTGcsTH1rVh
ガス,ガス,瓦斯,HN755tLXrthfoqe71Pi7
地震,じしん,地震,HQIhLyWb0D8qBA9n2mC9
触る,さわる,觸摸,HZEvrNc1sck2Sjca3nty
復習,ふくしゅう,複習,Hbd3LN3NRbMviFMZhZJW
代わり,かわり,代替品,HgqKR0mObqDMJKsQ9CGt
～代,～だい,～代,Hjvpx4RG3bf3cKuALltF
食事,しょくじする,餐點,Hl37beuo7hW3rH5L3tHC
深い,ふかい,深的,HmDc5k6Lq7tgB4X55ZcJ
光,ひかり,光,Ht2rA6nd7YYZC7m8czEF
途中,とちゅう,中途,HxVgX23SqUOs7mwiHrw7
～様,～さま,先生、女士,I9j7il8U5zBPjueSbNiO
もし,もし,如果,IC01GyWIvsia9CGMa2vT
皆,みな,大家,ICfQ7FPq9YCQURENp7SS
中学校,ちゅうがっこう,國中生,IHVfThm3lW0jd007oG37
大学生,だいがくせい,大學生,IQn2uwYmgKoXC3qdJ06f
集める,あつめる,"收集, 聚集",ISgzrpxWlJW5VLMFuwcX
利用,りよう,利用,IUIsPDG3yjfTXAMFrEHM
訪ねる,たずねる,拜訪,IVMl3ehvfzNmTpXIDv1n
スクリーン,スクリーン,螢幕,IeG8Uhv3QVOJJzJLp1al
致す,いたす,做,IexXPf2Gx7GipSCbHgNM
再来週,さらいしゅう,下下週,J5muxfsUW8ReOSbTnAx2
公務員,こうむいん,公務員,JUg9fJJCIJJ5xgAH7FKn
それで,それで,因此，那麼,JXOM3Ch4mkq7u8UMnVlH
複雑,ふくざつ,複雜,JaPKjQIWgBWjpDirP6ue
高校; 高等学校,こうこう; こうとうがっこう,高中；高等學校,Jg2rGbbL07rp8TwAPREn
規則,きそく,規則,JmQAgajtqFTDiiii2Ydz
気分,きぶん,"氣氛, 心情",Jo4Co47h5KuFHUdrPxiw
間,ま,空間，間隔,Jv3YD7rlj94PPScvbuqE
始める,はじめる,開始,K45y5X8z5G3kr8ORX7nx
遅れる,おくれる,遲到,KBOFyZDzlvV7KT5QvWOZ
手袋,てぶくろ,手套,KDsIdDYD20baDtf4V8rM
柔道,じゅうどう,柔道,KH1JHpWRiUslPMAHEPdj
止める,とどめる,停止,KLDwQnMZIcunrdXPed9z
移る,うつる,"移動, 轉移, 變更",KREeik0aQ2vPokgWBQv5
工場,こうば,工廠,KToF9K2wIWtRwmDxbxc8
為,ため,為,KaPo6O3QLg6pXJmoahDN
下宿,げしゅく,寄宿,KgakeonGYpJhEI8heabJ
訳,やく,理由、解釋,KhQ4e8R98wsVK35mUP70
または,または,或者，否則,Kmzcniqs2b8R5J7Axb9L
アルコール,アルコール,酒精,Ku2wR5wRdsRa6W5CS8Io
おもちゃ,おもちゃ,玩具,LEIRjTjYYtAJj3nGFXss
妻,つま,內人,LF2kxHbPkYO0qonzAUfn
届ける,とどける,遞送,LJD88PyYPdn43pjaaWGd
漬ける,つける,浸泡，弄濕或醃漬,LSwUKnLzDLxXURGOKE7J
お子さん,おこさん,小孩,LVNT6EkEtHDLBnThWnMr
試合,しあい,比賽,LZSBSOgrnBe0lheJt8KF
～(に) よると,～(に) よると,根據,Lc3RnFO6XkJCdATpIfhh
ピアノ,ピアノ,鋼琴,LdSdRSanTfpEBEQ51d25
急,きゅう,急迫、突然；陡峭,LiqsECN6Z6xf45pj03zn
たまに,たまに,偶爾,LkLedz8DigczL457Ddck
昼休み,ひるやすみ,午休,LkcGnYPXaaHamBIZsesY
折る,おる,折斷，弄斷；彎曲 ,LoSXKT2rkfuvuf3EdVVA
正月,しょうがつ,新年,Ls5cURaXvcnVQu7EA4kz
お祝い,おいわい,祝賀,LyOPliyISY6EpFxXCFLj
飾る,かざる,裝飾,M3hz1gCCm7dNcsrY45Fk
だめ,だめ,沒用，不好，絕望,ME62av23YXFNxP4oNbHq
治る,なおる,康復,MK20Pf5UbMNr4CTxytsa
美しい,うつくしい,美麗，可愛,MQymU3lVIM8Vt97W2wJW
経験,けいけんする,經驗,MRTS5sHdmgTqGtq7CkOq
飛行場,ひこうじょう,飛行場,MhGLGoXLxAGjazU1w93T
決して,けっして,絕對不,MhZ8Qfpyu4MAmVsh2J6m
倍,ばい,倍,Mp0C7Z6qgW2yyaiv5sIO
釣る,つる,釣魚,N0wqbvSr1OullpGVW763
展覧会,てんらんかい,展覽會,N3YHfeSZPyc6LOQnlLuZ
凄い,すごい,厲害，棒,N4JMguUV3SpdzICe96O2
続く,つづく,未完待續,N8lpOitch9BWIzTM4qWm
申す,もうす,謙稱說,NBj3pHLUliE357psmDG1
出発,しゅっぱつする,出發,NE26sHE4KTJI9dCyR2Dk
おっしゃる,おっしゃる,說（敬語）,NHHZrjemlet5MZp7RVD6
社会,しゃかい,社會,NN8Lw6jHhw9nbdNMxngI
けんかする,けんかする,吵架,NdawXBSML7J41UJSoCpd
祖母,そぼ,祖母,NgRHnQjeB8n6xEGDoDX7
変,へん,奇怪、古怪,NjHTboYjXg5mf1iZIBdF
今度,こんど,這次，下次,NqDYiuuiozZltE8hVGki
点く,つく,被啟動，被開啟,NwZkmrokhN4UHKvjqdav
喉,のど,喉嚨,NzNGcajmX0OqA9xQNtMb
ベル,ベル,鈴,O6Us5CvAUnYenG4gJEyp
文化,ぶんか,文化,OBhjyiuaOh5njSYE7BGS
怖い,こわい,可怕,OPSlww9XXY4puza4hxHa
趣味,しゅみ,"愛好, 嗜好",OQLEvZ5lfitp0CBusZfl
郊外,こうがい,郊外,OZP78DPLwH8av7tYXf1p
探す,さがす,尋找,OlB0wzMLBMhEJnHt1HOE
パソコン,パソコン,個人電腦,OxynlTFmaZc48IKqDHRr
ビル,ビル,大樓,OyEGhVw5DE4nE0ihqUEl
退院,たいいんする,出院,P05pxVcj63vVhf38wExq
見つかる,みつかる,被發現,P2c2df9lCeCukTTYxVW3
ファックス,ファックス,傳真,PAaVIyydTgYJFyjEYrwh
踊る,おどる,跳舞,PHLDEwTazcvnbNRaeH0e
～おき,～おき,每隔,PT60R3SAkBeDGonGuEs5
世界,せかい,世界,PjqYxsbcdVKQzmFFvzaR
ステレオ,ステレオ,立體聲道,Pl5tBjiIhIGYMWfHu3us
はず,はず,應該是這樣的,PsC7rlsOAElCJpd3Cxgd
課長,かちょう,課長,Q1nb8wlXE4PusfRrXyKI
しっかり,しっかり,穩固地,QCTUChvfGr7O5rsXOoeI
味噌,みそ,味噌豆醬,QDVOznvOHJHm3WVYwMku
ひどい,ひどい,可怕的，糟糕的，不公平的，殘酷的,QL3yUSbGChvb2305djuw
競争,きょうそう,"競爭, 比賽",QQHzQwELH7oJ88szoNbi
科学,かがく,科學,QRO1opeEzNFV4Wm85lPS
事務所,じむしょ,辦公室,QY2OgKAZYrE6A48JuPCn
用事,ようじ,事務；任務；差事,QYsziuR8CCOQF5VLbD9w
オートバイ,オートバイ,機車,QZI5EVBZ7y2ZDEZObsGS
季節,きせつ,季節,Qb2ot7Oo2QtQDL60tAVQ
準備,じゅんびする,準備,Qr8hQ2qd63ShSsCO7VRU
食料品,しょくりょうひん,食料品,QvjZ9mArw13VO4HwhwhB
夢,ゆめ,夢,R1ccRNdocteh3oKOc0ZN
以上,いじょう,以上，這就是全部,RAVOx1oWIV0Ln4yYgBfD
拝見,はいけんする,拜見,RBZIiZDKXcDJgvLspCTz
背中,せなか,背部,RMGrXXcOeyJjl2cUE7DF
ケーキ,ケーキ,蛋糕,RNT9ISMlzQJgic1acKqN
レジ,レジ,收銀機,RRQs3t627Scn6jqvecFS
泥棒,どろぼう,"小偷, 竊賊",RTmLZUa6XQdXsJ3eQzCQ
適当,てきとう,適當,RXbJM0aKWBp9eSNwG1gC
急ぐ,いそぐ,急忙,Re79ljHEEDKf0mNZm13z
程,ほど,程度,Re89olzRjYwgJzqrEpOo
見える,みえる,看得見，來,Rm8duypwYlOn2obWYpLb
お土産,おみやげ,伴手禮,RmBM6hnzieW59kwKX3nS
焼ける,やける,燒焦，烤熟,RsaUanNLDh8zqSevfvnr
踊り,おどり,舞蹈,Rwyjnk2fRRjrQsXWauJ2
答,こたえ,答案,RxanL6LvK7OgGgzqvkqj
市,いち,市,S23CGlxZ3gmLn0MB5BgJ
寺,てら,佛教寺廟,S3MdakiY4XRrlfc0xNM9
指輪,ゆびわ,戒指,S3ycpMCw70xcnIhyMGeo
止む,やむ,停止,SZrOilDlZY9XtNeNVA8q
心,こころ,心,SdtC8hRVxkoodxNGagVC
動く,うごく,動,Sly3YXmt8javzDxfSCLC
開く,ひらく,開,SnClYHiaC0wLh1iqujZh
～月,～つき,月,SnMfUzO43GeKJBpxZm23
畳,たたみ,榻榻米,Soqf0t3DaWsIksAqvFQA
もらう,もらう,收到,T6dyFYwMXcKW7XEi9wuN
研究,けんきゅう,研究,TCLkbK3kaL2dSf1jTTzB
返事,へんじ,回答,TZesPEsfCQZmXkzT24QG
下る,くだる,下降，落下,Tam8UG7slSoeuxUFJxF7
変わる,かわる,變化,Tg6vqYdv87ETTtYOlZwb
彼ら,かれら,他們,TlgK7cZukoxqP0fXuPBc
アジア,アジア,亞洲,TvURSqnJI3qaop7ugFdY
沸かす,わかす,煮沸,TycJEpY8o67hgNH01Z9K
港,みなと,港,UK8uW26K7t658beS1RTg
自由,じゆう,自由,UTlW8sQy9fSdfeUtqoWj
紹介,しょうかい,介紹,UTxLWybro7D2PvVNLe9a
浅い,あさい,淺的,UXJZclzwnpVVqFpxPpZ3
客,きゃく,客人、顧客,UbvoXzgNwCMnfWZsuCxW
パパ,パパ,爸爸,UdAZnU4RxEqgmODjdNrs
できるだけ,できるだけ,盡可能,UgirvtTokDYan23hYFk9
空気,くうき,空氣，大氣,UkJWi6V0wkvvOTZW2STU
泊まる,とまる,投宿,Uphtb0Qr4GJuzkyMJJk6
会話,かいわ,對話,UySSLK8ZBLZNJu13lsTZ
大体,だいたい,大體上，大概,V8NKaTpegIiQCX2ZD76S
育てる,そだてる,養育,V99bRN4psugHRrV8djsl
約束,やくそく,約束，約定,VWwZwlHcStAMZq2bR8EH
焼く,やく,烘焙，燒烤,VXm4yzef4aaNFO13klQi
濡れる,ぬれる,弄濕了,VeXzu2Qzk0USl2WankRa
隅,すみ,角,ViQmqDozPomQ1uSNZA5e
受ける,うける,參加（考試、面試等）；接受,VzxBtde2qABRoKJ9VWBr
赤ちゃん,あかちゃん,嬰兒,W66dj8HjJINvZvpA46wt
お祭り,おまつり,祭典,WKh9NRCFyMT6yuXoDGnn
通う,かよう,通勤,WLfeoXuhfMdamfKrTwyB
輸入,ゆにゅう,進口,WMKzUjXZBeUJZw6eOVUB
見つける,みつける,發現，找到,WTOoqpuFF7HPblfQFurn
タイプ,タイプ,"類型, 風格",WfX8ljYrNntAdcGVpP7j
夫,おっと,丈夫,WjOesvgHTXyZSzV06WmU
講義,こうぎ,講義,WjSCHDPIaEqFfGaNSLna
枝,えだ,樹枝,WuoNsq2FsCzKKA8bDfQ3
湯,ゆ,熱水,Wzra3cOxf76KZdcfae5B
女性,じょせい,女性,X4319tA6BZtUq18bDfDb
特急,とっきゅう,特急列車,XFrtdsudGyMzdfEPWJPc
卒業,そつぎょう,畢業,XKAPfMHNmpZQYyTeiUSi
びっくりする,びっくりする,驚訝,XWAyrUU93voCbavCKrAC
ソフト,ソフト,柔軟；軟帽；軟體,XfbhpGFImwuwOjcKLs3N
慣れる,なれる,習慣,Xmmw2157yevEZASl3QLA
参る,まいる,去、來,Xq2WKL8iXqALnNlpgwVA
行う,おこなう,實行；進行,Xw29O9kCxsdRtfZJb7qh
乗り物,のりもの,車輛,XzYJMqloilzU4DO1je3z
テニス,テニス,網球,YB25s5YNbsQREZv4Pzav
恥ずかしい,はずかしい,羞恥的，尷尬的,YDKRyX09K7lurJx56mEa
連れる,つれる,帶領,YLFsHovV2MB2wYyjvQHN
無くなる,なくなる,消失或遺失,YPchPfH18s4szueonVuz
アクセサリー,アクセサリー,飾品,YQg6jkv4FgS0bSyIENq2
起こす,おこす,叫醒,YVRFHIA0NYjwEQMBiqOJ
最後,さいご,最後,YbxiYu7sXnHJS7Vk3MUu
ガソリン,ガソリン,汽油,YkOGXr02VjpN9Vm3aj6m
雲,くも,雲,Ykv1lop11g3GcB4cvnlD
確か,たしか,確實,YpUnuStRy0JFlBocZRtD
数学,すうがく,數學,Z8zQcxI8sGPQeM6cWDmE
家内,かない,內人,ZH6CXUTcBxzweUVRZsnH
簡単,かんたん,簡單,ZKhrQ0pLrRpGfzDKs8RA
西洋,せいよう,西洋,ZROL9nuGnEC2UjzjP24a
輸出,ゆしゅつする,出口,ZWACA3CxS3PqlVri3r8r
別れる,わかれる,分離，分開,ZaaO33MeIlHGpJ1jpzmE
小学校,しょうがっこう,小學校,Zkdud7rcYHMUIEfQ2ZcK
割れる,われる,破裂,Zlvi3zg4yqqk3FA2MC60
だから,だから,因此，所以,ZmNOqpwyBJxaEgisafLK
払う,はらう,付款,ZnJbdlQ4PiGS9teEirZh
内,うち,內,ZsiX26aC1DOIi9Emh04w
それほど,それほど,那麼程度,Zu2rWF4DygaUE8BQUrXz
落る,おちる,掉落,a4fwQb0EzBQnCsZdU7rr
棚,たな,架子,a5nuF7uxugGQZLa9NLPh
ごらんになる,,看,aGEn4Tb3XmPqz1kfirgc
草,くさ,草,aHxSHuIWV9OQ3usESO8z
安全,あんぜん,安全,aLksel48RdG9pU7U3XvD
笑う,わらう,笑,adZ2mcxUauFxZXZyJem3
歯医者,はいしゃ,牙醫,ae82WaCX2JbjOtkYQhpj
建て,～だて,樓,af23VwOFihzpFyRMVBYu
～やすい,～やすい,容易做,agapBF02Yp0C6UpZFuK4
部長,ぶちょう,部長,ahkrA3vZlcohjvm3FHER
親切,しんせつ,親切,ajQm9Xf6gyKIOxQTwjtf
木綿,もめん,棉花,anfpxjaScTW9LJqdV9NN
増える,ふえる,增加，繁殖,ataud6mGQ5ChvgngGKn5
合う,あう,合適、匹配,avvAovna5NclU6c4zsP1
うまい,うまい,美味的，熟練的，幸運的,b6RTo3UjT7aZpGz2bnd0
毛,け,毛,bEwBPLe2XliQxR4DArHM
承知,しょうちする,同意，接受,bGJrUaEsgT0s9B792XA9
祈る,いのる,"祈禱, 許願",bJGgZZTvr6ncMi8pqZfH
優しい,やさしい,親切的，溫柔的，容易的,bR8pER7aXElUJvcbnMB5
字,じ,字,bSNGtDd1u5YK9Lf2UIVG
動物園,どうぶつえん,動物園,bSVIhen524n9rvcFtMwi
空く,すく,空出來，空閒,bkOlvEGzEfNfpHJ3C478
プレゼント,プレゼント,禮物,bxtu71z6m6s2iM0Zmpdm
用意,ようい,準備,byFlu0bKhLGw5r6o5c8V
星,ほし,星,c3iMQ7ElmYQxHVSzfzex
月,つき,月,cBfkcW5nhrxOYMnxYaue
すり,すり,扒手,cCq0O8byYJAXoakcQ0dF
通り,とおり,街，大道,cOTgKEpN55Yq4Vf0Dks7
