#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
取り扱う,とりあつかう,處理，對待，經營,1iO0XwtWzXvK8ed4FELz
充実,じゅうじつ,充實,1mrgmyJ5JqqZ8StOy5dk
両立,りょうりつ,兼顧、共存,1nmRcNGSP1dhZat2xuKR
取り組む,とりくむ,努力處理，投入,1p5xn1th5SdfwhG19Xcx
欠乏,けつぼう,缺乏,1qBk2wTKS51Eep5SSNaf
悪化,あっか,惡化,1sBeC1IUYcPotcZsAExz
獲物,えもの,獵物,1slItfZ7VeZb7Ke60iFs
葬る,ほうむる,埋葬，安葬,1z2NXZ8XX8cTHiV3uqtU
先だって,せんだって,近日，前幾天,1zgts7mg8DEmJJHLeMyW
増進,ぞうしん,增進,22GnTszMThBbiobFfNeK
貯蓄,ちょちく,儲蓄,22ogv5EAwKZkpMqYyh9j
奴,やつ,家伙,23FZAJlWIZv5MgAtUPu1
慣習,かんしゅう,慣習,23Kl017lac5mFoKRJ3XV
強制,きょうせい,強制,25Dx8m7xy88dOSJ1W9jQ
戸締り,とじまり,鎖門,25QavwStAB8SaJ5RdAfM
伝達,でんたつ,傳達,26UVi7iQp973y2QUhGy6
仕掛ける,しかける,設置，佈置，發動,29iUNmmE3NZ1MENEafuZ
居住,きょじゅう,居住,2C8CLSY6SDaXqOiYur0k
長編,ちょうへん,長篇作品,2DXFulAyftG7LutSOIUc
御世辞,おせじ,奉承，恭維,2DohCAW8WBYRj94axJ4C
瞬き,まばたき,眨眼,2Egi78sveQokKpfObM7l
汽船,きせん,汽船,2FzEH0ppWcCTvJ5N3QEJ
名付ける,なづける,命名,2G0DSM1klWgg1NFKtlX1
仕切る,しきる,隔開，分割，劃分,2GOLB49Lyy3QlwrBC9V9
覚え,おぼえ,記憶，感覺，經驗,2H67ZAvi0KIL2RR7ldcH
利潤,りじゅん,利潤,2HOpkaXXKt49xpRRnJjl
政権,せいけん,政權,2LlanMxZeyL7cp3T9Ejx
追跡,ついせき,追跡,2MRoFUZBGXy30SjSlvmu
飲み込む,のみこむ,吞嚥或理解,2MymDrGh8ItNfZKk61Lv
失脚,しっきゃく,失腳,2NA9upvJg9zoxZMfNxx1
渚,なぎさ,岸邊,2NlQMeNWfPvR0TS6qhpj
ちょくちょく,ちょくちょく,經常，時不時,2URUNXJuBvuaKOAL60qM
作り,つくり,"組織, 結構, 體格",2Ufu3p431bA6R2GSBbvp
寛容,かんよう,寬容，忍耐，寬厚，參與,2YyRgOAvuTY16ZgK6cUy
いじる,いじる,觸摸，竄改,2bSUAzhXxMz4ao2EFgVd
退化,たいか,退化,2cGZKTrzamigrrf92Mun
ずれ,ずれ,差距,2expdTD2s75pF4pL8x32
納まる,おさまる,納入；獲得,2fZQaS6xmFR1uTEZO3V7
マーク,マーク,標記,2g4rv1MncRFEKP1ZKfCW
調和,ちょうわ,和諧,2i0TxHgG7poRGsZWYoOM
水源,すいげん,河流源頭,2ilWsWcfKBVdDsOWnKdN
手法,しゅほう,手法,2kblBgz17LiiXisNDMOj
先代,せんだい,前代,2mjCsbwZde34MuN0a5hi
時折,ときおり,有時,2oQbFw6OJJHo6wi4lSO1
過密,かみつ,過密,2q9BQyW5PkJr57ExQqj7
中立,ちゅうりつ,中立,2sSwYUVpVYeQexf29BlC
分母,ぶんぼ,分母,2t4tHQg68Ad3R3GA7Awd
箇条書,かじょうがき,條列式清單,2tChne6Co1hf9xUChgsL
取り立てる,とりたてる,收取，勒索,2tF1lQ2E6v4TX5CGwBqB
角,つの,角落,2tXoEd6Kd0RQgcFYw33T
きっかり,きっかり,恰好地，精確地,2uKFReBgMA3Y6u34c1lc
公募,こうぼ,公募,2xPsVl5OgyPevXo3qIYb
分子,ぶんし,分子,2xmfMDS0XEZoEgytwpIz
不当,ふとう,不當,32TKzDUWe16e7OhyUp4X
蹴飛ばす,けとばす,踢開,32bDXa6mjkEg00Y7xflQ
権限,けんげん,權限,32c5KNz3TQ8MPnB4rQoo
据え付ける,すえつける,安裝，裝備，安置,33tpCFIRN98eD38PcY3q
清濁,せいだく,清濁,35XuMHRH74ROXMzhxlpd
浮力,ふりょく,浮力,36NtaqR92EW4YWHOHw91
ソックス,ソックス,襪子,37l7sUaEa5wjU35Qbf70
一概に,いちがいに,一概而論,38J1NtpNKWY7vNsfrA6n
即座に,そくざに,立即,38bIfkX9cx1NHXwoH2up
事前,じぜん,事前,38oWASRGmJ96chhZCblW
守備,しゅび,守備,3AjV5VIpOsJmbWmSlrL6
抽選,ちゅうせん,抽選,3DU7ovmDqTQ5YfRRKtx9
中枢,ちゅうすう,中樞,3EoEpqIssjoV0f89tNyp
先,せん,未來，近期，先前,3GRIijXmjBZnN8Y7xjoB
事柄,ことがら,事柄,3HVxaFJ6iQtC0wPtDTNW
河川,かせん,河川,3HuRpaWygLqw1m2irBUu
割込む,わりこむ,插隊，干擾,3JjF4XpAVszPt0JDJCfH
転ずる,てんずる,轉換或轉變,3KIgd0I7CwlagZB4EC1X
過疎,かそ,人口過少,3KSxj3YH0Q24J2mNpCKq
連中,れんちゅう,那些傢伙,3MuT3G69lwcd4CfDuDmi
突く,つつく,刺，捅,3N72AEo5DzvwJe18nis1
実業家,じつぎょうか,實業家,3OVwVGAn6CWdygLkKkIA
人気,ひとけ,人氣,3Q6C8YcJwc6kOP8lLLMK
適応,てきおう,適應、適應、遵從,3QovopLM6J8hRtFHKPVo
寒気,さむけ,寒氣,3R5w1hlsEJO7UyAu4Oxc
真実,しんじつ,真實,3TAH8RKPRHtE0e3UHoY6
要因,よういん,主要因素,3ZGSHB81TzTDvPuXxYLK
執着,しゅうちゃく,"執著, 黏附, 堅韌",3baB0hjQdBHAvc91xJed
召す,めす,呼喚，召請，穿戴,3cfg4orHDGIBKEH0xuGA
簡潔,かんけつ,簡潔,3dVopQEF44vx5W88BY7N
インテリ,インテリ,知識份子,3fPsuh4aMARqVAA50o9R
物資,ぶっし,物資,3gSglp5KVFHREdGl1nNQ
かさむ,かさむ,積累，增加,3giaa0x5Qs7zQdaJmymn
呼び止める,よびとめる,攔下,3j10UuZDPTWSMaOmg4la
ベスト,ベスト,最佳；背心,3kc4KSuub84EO1f49rbu
街道,かいどう,街道,3lXm7Rdgzy8pziQqHsrJ
もてなす,もてなす,招待、款待,3lnscorT7Sq7ddIq6s2W
軍備,ぐんび,軍備,3lquMdYfwufdmd5CN4wH
きしむ,きしむ,嘎吱聲作響,3mX2r4jf0mVYQjAq5Ymu
オンライン,オンライン,在線,3n59d4wSbIYYmfc2RGeW
領土,りょうど,領土,3oR0DwI6F82rr12X83Td
内閣,ないかく,內閣,3qcThbRNzElMjEDtzZZy
唾,つば,唾液,3qpkeefES1dBTAr7srL3
ぼつぼつ,ぼつぼつ,逐漸，處處，斑點,3rOMIOhahuW8w17fbVxw
ずぶぬれ,ずぶぬれ,濕透了,3rjOnAZjBIuVdsRUjpnm
鈍る,にぶる,變遲鈍，變鈍，削弱,3s08rehCVznzIPMj9W4p
不審,ふしん,可疑，懷疑，不忠,3tBs2HHGKXSayG7rYREX
描写,びょうしゃ,描寫,3uTINpTqLls4ta4s2zHJ
真下,ました,正下方,3uWtVxkbxFgGb3XwCzL6
火花,ひばな,火花,3uyY2fHqDR5mckSrelCk
励ます,はげます,鼓勵，加油，提高（音量）,3wZde6rd3uZ1aZpk7QKP
屋敷,やしき,宅邸,3yY846OE6i9H55KewoiC
優先,ゆうせん,優先,3ytH7u9fH9m84P7wFYTr
暗示,あんじ,暗示,3zoxcj0hye6MKIwP3oKN
見計らう,みはからう,自行斟酌選擇,43l3NVy8gYM4B2cakCQE
運輸,うんゆ,運輸,45MZdNjRByYIyek1vOVQ
小柄,こがら,嬌小,48p97Xl5rfZmjHsqpaP5
並列,へいれつ,並列,4A9Y2jAfTaHLTY6GJ4To
窒息,ちっそく,窒息,4BFNt9vhY25RTtRH21TK
よって (よりどころ),よって (よりどころ),因此，所以,4Co2Ly5VOxeojuH0twDt
見晴らし,みはらし,景色,4Ctb6BVmC1dkFDQt6nVz
現像,げんぞう,顯影,4Dyz9BW3RfSZALYUQmtA
獣,けもの,野獸，畜生,4FbzecNa9AEUQ8iTLF7w
漂う,ただよう,漂流，浮動，懸浮於空中,4G8Z3HnzWEaDF96DYC7t
荷造り,にづくり,打包,4GX9dmb7pWq2zDhX5IVy
デコレーション,デコレーション,裝飾,4HJje1c4fvInTjtcrs80
方策,ほうさく,方策,4HmFIZ1P6NHQrOkDH9S2
憧れ,あこがれ,憧憬,4JmeDQd9QwhUhO49nhJj
事業,じぎょう,事業,4Kqq4sv0MsCxPCZFlng1
老いる,おいる,變老,4LWFhMuazuVizwSeiDdE
カメラマン,カメラマン,攝影師,4Mo7uJUKrUBr4w1HSdM9
語彙,ごい,詞彙,4NQ1F0q7jgvcnVuXmLLk
余程,よほど,相當地,4Or2PgraOrDgbjn7DKC0
決,けつ,決定、投票,4Orp4d6G29kHNZwDFLWU
態勢,たいせい,態勢,4P7CkQbo3bIbFaWC4pI3
まさしく,まさしく,確實,4R4V3bm3xsMXxq3laE25
軍艦,ぐんかん,軍艦,4RsHV1KYSpWfVsZnf52T
はかない,はかない,短暫的,4S6OcKqvLP1CwhKomlsG
時刻表,じこくひょう,時刻表,4T1FB70KKy5DHOFp0sLY
転換,てんかん,"轉換, 轉移",4T74DzT2fZF378iar5hQ
与党,よとう,執政黨,4WNQYW9pyVs9PqiUmbvs
準急,じゅんきゅう,準急列車,4XGYlpwacmOVvUVYB4uQ
映写,えいしゃ,放映,4ZYYoU4kctcS81qKy9vo
対決,たいけつ,對決,4ZcoApMNpF0ggW4aBmZm
漢語,かんご,漢語,4Zow4VfD4OMAxH7jinwv
ブル,ブル,公牛,4a6JhlnBvYAOOjwXUKv3
出くわす,でくわす,偶然遇到,4cB42elB43HuIVtv08xz
海運,かいうん,海運,4eLRtj2WzcSKkGAhZi2O
議題,ぎだい,議題,4eXq7OQvbpbpqXSP7lZ2
構える,かまえる,設立,4iC8Afq06VpZKJ6ekfuH
ゲスト,ゲスト,客人,4iPC7Weoj1sCt3I8RvRs
保温,ほおん,保溫,4jJ9PMKKuNYZon0PUbFD
トラブル,トラブル,麻煩,4jv7O9jFmUWCQZMzn10V
成熟,せいじゅく,成熟,4kJ5M0Cfo1L9JgRCjE3s
吟味,ぎんみ,細心檢查,4kfRATcuAWNWsk03PiWx
ひび (かべの～),ひび (かべの～),裂痕,4lR0pndV7rYKNQVzLsyG
善良,ぜんりょう,善良,4orXAi1pqeJSvzxJ56lv
仕上げる,しあげる,完成,4u0p5WmYojwZqtbzBv8o
感染,かんせん,感染,4wQccPskOCee09dLHKzD
灌漑,かんがい,灌溉,4yZGm4tGciLbfOlkthWC
違える,ちがえる,改變,4yZaGGrNqC6mWuy2HBmq
敗戦,はいせん,戰敗,4zP3tFfwAqVOlFnJrLmu
開催,かいさい,舉辦展覽,4zYB8C3k8skumJM54GT5
打撃,だげき,打擊,52zqzQFikBsqFIDLoPhf
謝絶,しゃぜつ,拒絕,531V2s3GNnmNJdRGMy45
利点,りてん,利點,58Zh0tOb8Rq3IKhOiUHl
階級,かいきゅう,"階級, 等級, 階層",5BwijCUESBrD3ca0KAK6
非難,ひなん,非難,5CwXUXVH0M5cC1azJwqs
扱い,あつかい,對待，服務,5EXF5ozOSmj217yOfN5y
布巾,ふきん,抹布,5FDe645ysVWmBSkDkh63
還元,かんげん,"還原, 解析, 返還",5FvKPXWoDQYiHMXdbEUZ
心掛け,こころがけ,準備、意圖、目標,5GhqbcJchoDKgUj9B56p
大家,たいか,房東,5GiJgkPVxMRz6DvVPfxP
美術,びじゅつ,美術,5H0Ym1YJEN1vmv05Atcx
念,ねん,感覺，心意，慾望,5IKw8ABtB757LWkZAUmh
躾,しつけ,教養，訓練,5KYv4zMuJ7TslvidmUZd
家出,いえで,離家出走,5Mvn9aWgqH7B489go0oe
統制,とうせい,統制,5NuAXkk65ilMmj7AnENX
～割,～わり,成分,5OKG464MrLaIEwrq8PqT
在庫,ざいこ,庫存,5OSYzv4Lq9FUfcDsuAhq
バッジ,バッジ,徽章,5OXOJt3XYBj6WfplZBR9
密度,みつど,密度,5SLQvtKFf01SyMzg33JL
貝殻,かいがら,貝殼,5TWUvdFawHfgHzZNblVW
振り出し,ふりだし,起點，開端,5VJL39apkhC7d4FQjrKT
妨害,ぼうがい,妨害,5X9GFQOKWZYhbAYanpBF
境遇,きょうぐう,境遇,5XMnLV0rdQmVZb1GCUlW
群集,ぐんしゅう,群集,5aLC643qBrvccvXIYDro
今更,いまさら,事到如今,5bvuSLYTkj4pLFnwWPG7
了承,りょうしょう,承認，理解,5c1jaZEOcpMrS0lYeVH4
反応,はんのう,反應,5du0U2HAXsncY0aNEHKZ
きっぱり,きっぱり,清晰地，明確地,5ewwtKTcZ1X7OAQC9Rof
無難,ぶなん,安全,5ge0HwKO91XFAC6SSQoe
ニュアンス,ニュアンス,細微差別,5h8J7mbG3kNcvrpmkK2q
特派,とくは,特派,5iD5gXdWEQ6yc5THgcKN
下調べ,したしらべ,預備調查,5ixnOYo5KjWJMqT1wyIN
滅ぼす,ほろぼす,"毀滅, 推翻, 破壞",5kI6RFalE3k4FR7kg3ou
すくう (みずを～),すくう (みずを～),舀 (水),5m9OLFA5NajxwUZVNCnq
危害,きがい,危害,5oQqhAOuww1lDhxcx4q9
薄弱,はくじゃく,薄弱,5ow6zPjWYrcVf5QpRxTe
病む,やむ,生病,5oxsfUmIqJfGa9VoFHrO
～宗,～しゅう,宗派,5q8pteknJHmd0YjvATny
よし (かん),よし (かん),好的！,5qYH3FIOLZ3Ew4aueFhk
詰る,なじる,責備，斥責。,5qf3Bet2meEMImFu2h0G
抑制,よくせい,抑制,5rYcrawRNiXzUYwKpczf
世帯,せたい,世帶,5s5JRRsrezRwyaOh0I23
適宜,てきぎ,適宜,5sP4uLjyWrjbgvYCm5Bz
絶版,ぜっぱん,絕版,5slltISyCwSjvC3jG1Qn
身の上,みのうえ,身上處境,5v3Me2H2rojg4jqqc7bt
インターナショナル,インターナショナル,國際的,5vAhp8tPPGTMuwOrpgmF
ぺこぺこ,ぺこぺこ,卑躬屈膝；餓得前胸貼後背,5wSmzvKZXSGHST0i3wkX
鉄棒,てつぼう,"鐵棒, 撬棍, 單槓",5xwiDxKcTkj0Nx1c9U6C
一連,いちれん,一連串,60BmORwotkNjUNlhR1Ci
なんだかんだ,なんだかんだ,這樣那樣,60pO1scaW3cJqDlR14PT
ニュー,ニュー,新的,63lUAOpNbX0bDoGt85ti
軍服,ぐんぷく,軍服,657LhvI0fNPVhj7Hr3Xx
円満,えんまん,圓滿,65y5cYVA8jh6xwTErqtR
空腹,くうふく,空腹,66V2NkgWOuKls0EcZIZZ
悪しからず,あしからず,請見諒。,67CkZ1yQqQWDU18n0U8G
及び,および,及及與,69tJFcQv2VtLoCWZ6Yyj
担う,になう,擔負（負擔），扛（槍）,6Bxed2BOt92H3o2jzLCk
制する,せいする,"控制, 指揮",6CALHgPoC43KigJbBFdx
着手,ちゃくしゅ,著手,6CqcmhmTI5KyWZ4yL6DU
感度,かんど,"感度, 強度",6D9ZvDAvHgi2VMFh6VYp
募る,つのる,募集,6FSACnslrZ9zUq5ddYzw
樹立,じゅりつ,樹立,6FuLZFmdeSBGCZXYs7PN
繁栄,はんえい,繁榮,6GvQTZpYhL326j30x7kP
秘書,ひしょ,秘書,6If6doaqY0SBCAf5Jxq2
危機,きき,危機,6M9R8EkXVTsJMDjgSxi8
補足,ほそく,補足,6MzbfDKWrLsL3dFum46U
崇拝,すうはい,崇拜,6Nd6Qiba4jtD61yHXYEp
タイミング,タイミング,時機,6Q4p1xTTiHlmE3PJiP8G
控除,こうじょ,扣除,6QGjOjGkXgji5E4vnz5G
迫害,はくがい,迫害,6QHNZe2JZQtrU0NUaSU1
値する,あたいする,值得,6RugpscDqauLIeqfO8EX
取り巻く,とりまく,圍繞，環繞,6VgmT5O4Wc2DvIfgrQtG
慣れ,なれ,慣性、經驗,6YXPTjHNhfcvPc94SHeR
繕う,つくろう,修補、縫補,6ZhguQGN2iUJtvhinvjD
法廷,ほうてい,法庭,6a43juKp7JxENSi6GwXC
理屈,りくつ,理論，理由,6b0zWjahrjXnTZQB677G
真相,しんそう,真相,6bdttFkZHuT0r7pqwrBL
破棄,はき,廢棄，撤銷，毀約,6bomQvxs0PVItba9zjcy
捕鯨,ほげい,捕鯨,6dXbqbOvpbRXZsSmpN5o
雑木,ぞうき,雜木,6e4q2UwVrmKJUViZgJpo
幹線,かんせん,主線、幹線,6fae1bAtxGdVgVep9czy
試み,こころみ,試驗,6gOaSMaL39qGc3q5z7Wq
大胆,だいたん,大膽,6iHmIViV31K3cX4owYLX
前提,ぜんてい,前提,6iqfYhQkt3Po00EMLvol
主催,しゅさい,主辦,6jz5wHUqiZwEkAWRnpGI
好意,こうい,好意，善意，好感,6sUk4VrNpcd9FqWcuZSu
バー,バー,酒吧,6trGz4f9AgBOrB0EBIC2
執着,しゅうじゃく,執著、附著、頑強,6yZ6BDh54okgXmLmVqQZ
セックス,セックス,性交,6yf1eiAt1GaK38xS66lY
一括,いっかつ,批次處理,6zV7jZbFwfYMm2tKQCbv
乗っ取る,のっとる,奪取、佔領、接管,6zVtlLFVjjCFrDsbedm1
何だか,なんだか,有點像,73aa89SOlZAB0crYEgBF
取材,しゅざい,採訪,74BrY46soQmtPkSn8gMM
収益,しゅうえき,收益,74PVX2T4EuTivQtEpSKe
訴え,うったえ,訴訟，申訴,76WQpdNss9N0cZ92HO3u
届,とどけ,"報告, 通知, 登記",77Cw6M1sN4q696oXUGzT
妬む,ねたむ,嫉妒,79Z6AUnPKkdvk7dzduyT
報道,ほうどう,報導,7Ao6r5dw0hjmHtNqs1Z7
気立て,きだて,善良的性情,7DmLTbOKyet8a24ioVWF
遂げる,とげる,達成、完成,7DuamDXdqq7sP9li7ex7
くすぐったい,くすぐったい,癢的,7EiglzL7IU9Pnl5Irnvc
諸君,しょくん,諸君！,7MSiapGDYLCrosFUpuIg
普遍,ふへん,普遍性,7NytPwZUp47zGojkrLle
片言,かたこと,破碎的語言,7P6dtoLkifGJlcfWg7yL
転勤,てんきん,調職,7PKpC1mppRVcHvzHmtWQ
ありふれる,ありふれる,普通，平凡，常見的,7R8jDeaSrh53kx7KXbya
授ける,さずける,授予、頒發、傳授,7RTsebDtRAoHDUfmRnxG
公立,こうりつ,公立機構,7RnwBCcsCCpUkEvKaa4N
シナリオ,シナリオ,劇本,7ThqCHCryqTcM4oiXVJH
出産,しゅっさん,分娩,7Uans5tuQ8KB11SfsY8h
丸々,まるまる,完全,7XoinSnmxmcIm8wbwwqR
確保,かくほ,確保,7aB3dBeBExe8dWk8OiAL
看護,かんご,護理,7bYwNaswgLeQlbzxAbFv
主題,しゅだい,主題,7drX0iZtXVJqEK7ovjhn
変遷,へんせん,變遷,7eDiEpfuuR5G4SA1wypl
切れ目,きれめ,中斷、暫停、縫隙,7eSupwjI3zGVxNY6E8iT
空しい,むなしい,空虛，徒勞的,7gZcKb3f0pumDIsZojxI
政策,せいさく,政策,7hcEMgcqEOSzp44blSNh
もはや,もはや,已經,7iFpVFvkGUgRspiVZLN5
無礼,ぶれい,無禮,7jwWNRC3Qv0lI3vNYih0
詳細,しょうさい,詳細,7l5Mjl1LxrFVqISThclu
首脳,しゅのう,首腦,7lm2U1kH2IQNeBek5zCh
屎尿,しにょう,屎尿,7mAm0glFyoT3qUtDewJD
上陸,じょうりく,登陸,7pf00N7hcbBKhPniR6QV
レディー,レディー,淑女,7r6AyyAwU97B1FpjAsD8
恋する,こいする,戀愛,7t165akgn7VK0I5JAjsp
戦災,せんさい,戰災,7vqhqT1XJe5VZunu231R
モーテル,モーテル,汽車旅館,7wkwMxWITRHSscJ2yLRk
タイム,タイム,時間,7xANn0ij6qHYNYi4JQ2B
耕作,こうさく,耕作,7xqkjf7OK6IIsNXoNvt4
国交,こっこう,國交,802uCmWuLDmBvlEnCE9J
嘲笑う,あざわらう,嘲笑,810kdUomdwbLAOEVeagh
～薬,～やく,藥,84HUEq5ebXx5yM6Y74Jj
経歴,けいれき,經歷,86QOPHln0Ey15lsrfAnq
浜辺,はまべ,"海邊, 濱岸",86jLIhM9ghz7cV2LfIEb
取引,とりひき,"交易, 往來, 生意",87MHLPvf4Tnjoz3P1MzF
繊維,せんい,纖維,88UP5jnFkAw9dBAHUMo0
ふさわしい,ふさわしい,適當的,894KoKkR3PklDM9L9vYo
様相,ようそう,樣相,899pbcJYZjLzIbWLQri6
縮まる,ちぢまる,縮短，收縮，縮小,89PeL5iglCUfkqsAGUEP
鉄鋼,てっこう,鋼鐵,8AAGAAFLQtzIdlUyDcCb
転居,てんきょ,搬家、遷居,8AU8jmJJN62SGyl59XXx
軍事,ぐんじ,軍事,8C8VZjThzrPniG8hF7Qx
聖書,せいしょ,聖書,8EPVIuv8gFbjiNGPZPgF
設立,せつりつ,"設立, 建立, 創建",8F789Q0hwW8Ptu8Px6Aq
折,おり,機會,8F7d9qDhiLUyNDDh0Ox8
調停,ちょうてい,調停,8FANcvyGUbNL7rdvW4Ng
行い,おこない,"行為, 舉止, 行動",8G0TaCPnEJUlR7SW46Y8
合わす,あわす,合併，面對，結合,8GcS0RNQobhcxU9mn5MZ
紛争,ふんそう,紛爭,8IF4J6OtQVtZAWrY2kT0
札,ふだ,鈔票,8J26TjcBGtSJMmNB2j6J
見積もり,みつもり,估價,8Jb3aPMGcZuuzA8xwZk3
周期,しゅうき,週期,8JwsjNr5JdgCNlPo8QNA
比重,ひじゅう,比重,8KYbAj7SViaI7CWotCJQ
記述,きじゅつ,描述,8MFGZhTQhZs5Vbu2yLc0
